study_id,search_phase,screener,screening_stage,decision,reason,species,location,parameter_sheets,notes
Forrester et al. 2011,Detmer 2025,Detmer,full_text,EXCLUDED,Did not meet extraction criteria (see notes),Acropora palmata,British Virgin Islands,survival,comparing fragments kept at source site vs. relocated to a restoration site; found no strong effect of relocation on survival
Forrester et al. 2013,Detmer 2025,Detmer,full_text,INCLUDED,Tier 2 hand: Survival,Acropora palmata,British Virgin Islands,survival+growth,"size is surface area of live tissue, predicted survival over 1 year (see Fig. 3 for longer time spans); fragments ranged from 2-1016 cm2"
Garrison & Ward 2008,Detmer 2025,Detmer,full_text,INCLUDED,Tier 2 hand: Survival,Acropora palmata,USVI,survival,survival after 1 yr (from Fig. 4). Also measured transplantation costs (economics)
Gladfelter et al. 1978,Detmer 2025,Detmer,full_text,EXCLUDED,Did not meet extraction criteria (see notes),Acropora palmata,USVI,growth,range across all locations; see table 1 for location-specific means; from coral traits database
Griffin et al. 2015,Detmer 2025,Detmer,full_text,EXCLUDED,Wrong species (A. cervicornis),Acropora cervicornis,US Virgin Islands,survival+growth,survival over 3 months
Irwin et al. 2017,Detmer 2025,Detmer,full_text,EXCLUDED,Did not meet extraction criteria (see notes),Acropora palmata,Belize,reproduction,
Japaud et al. 2015,Detmer 2025,Detmer,full_text,EXCLUDED,Did not meet extraction criteria (see notes),Acropora palmata,Guadeloupe,reproduction,
Knowlton et al. 1981,Detmer 2025,Detmer,full_text,EXCLUDED,Wrong species (A. cervicornis),Acropora cervicornis,Jamaica,survival,"survival over 5 months following a hurricane; size not specified but ""we found no persistent relationship between survival and fragment length"""
Kuffner et al. 2020,Detmer 2025,Detmer,full_text,INCLUDED,Tier 1 individual: Survival + growth,Acropora palmata,Dry Tortugas,survival+growth,after 1.5 years
Ladd et al. 2016,Detmer 2025,Detmer,full_text,EXCLUDED,Wrong species (A. cervicornis),Acropora cervicornis,Florida Keys,survival+growth,"survival after ~1 yr. range is over different density treatments (found evidence of DD, see study)"
Ladd et al. 2024,Detmer 2025,Detmer,full_text,EXCLUDED,Wrong species (Diploria labyrinthiformis),Diploria labyrinthiformis,Florida,survival+growth,
Lirman & Fong 1997,Detmer 2025,Detmer,full_text,EXCLUDED,Did not meet extraction criteria (see notes),Acropora palmata,Florida,survival,
Lirman 2000,Detmer 2025,Detmer,full_text,EXCLUDED,Did not meet extraction criteria (see notes),Acropora palmata,Florida,survival+growth,
Marhaver et al. 2013,Detmer 2025,Detmer,full_text,EXCLUDED,Wrong species (Orbicella faveolata),Orbicella faveolata,Curaçao,survival,survival over 6 days; varied with distance from adult colonies
Maurer et al. 2022,Detmer 2025,Detmer,full_text,INCLUDED,Tier 2 hand: Survival,Acropora palmata,the Bahamas,survival,survival after 3 yrs
Mendoza Quiroz et al. 2023,Detmer 2025,Detmer,full_text,INCLUDED,Tier 1 individual: Survival + growth,Acopora palmata,lab (ex situ nursery),survival+growth,"survival after 1 yr, see Table 1 for other time intervals (assuming 2000 initial in 2011 and 1000 initial in 2012)"
Miller 2014,Detmer 2025,Detmer,full_text,EXCLUDED,Did not meet extraction criteria (see notes),Acropora palmata,Florida Keys,survival+growth,range of survival rates observed over 6–9 weeks (see Table 1 for each exp)
Olsen et al. 2016,Detmer 2025,Detmer,full_text,EXCLUDED,Did not meet extraction criteria (see notes),Acropora palmata,Belize (in situ chamber),survival,survival after 48 hrs
Ortiz Prosper 2005,Detmer 2025,Detmer,full_text,INCLUDED,Tier 2 hand: Survival,Acropora palmata,Puerto Rico,survival+growth,annual probabilities based on data from two time periods (see Tables 4.1 and 4.2)
Page et al. 2018,Detmer 2025,Detmer,full_text,EXCLUDED,Wrong species (Orbicella faveolata),Orbicella faveolata,Florida Keys,survival+growth,"rates over 2.5 yrs (?); predation damage in 1st week: avg 22.6% nearshore, 22.2% offshore, with 0% survival rates if >40% tissue lost"
Papke et al. 2021,Detmer 2025,Detmer,full_text,EXCLUDED,Recruits/microfragments (<1 cm²),Acropora palmata,lab (Mote),growth,"significant variation among microfragments (0.0031–0.0348 cm2/day), and they grew 111% faster on cement than ceramic. All microfragments survived the "
Pausch et al. 2018,Detmer 2025,Detmer,full_text,INCLUDED,Tier 1 individual: Survival + growth,Acropora palmata,Florida,survival,survival after ~1 yr at each of the three outplanting sites (estimated from Fig. S2). No significant differences btw large and small fragments. Size r
Piñón-González & Banaszak 2018,Detmer 2025,Detmer,full_text,EXCLUDED,Did not meet extraction criteria (see notes),Acropora palmata,Mexican Caribbean,growth,"""colonies ranged between 80 and 100 cm maximum diameter to ensure that the colonies were of reproductive size (Bruckner and Hourigan, 2000)."" Study al"
Porto-Hannes et al. 2015,Detmer 2025,Detmer,full_text,EXCLUDED,Did not meet extraction criteria (see notes),Acropora palmata,"Caribbean (Puerto Rico, Venzuela, Panama",reproduction,
Randall & Szmant 2009,Detmer 2025,Detmer,full_text,EXCLUDED,Did not meet extraction criteria (see notes),Acropora palmata,lab,survival,"survival after 160 hours; decreased with increasing temperature, see Fig. 4"
Ritson-Williams et al. 2010,Detmer 2025,Detmer,full_text,EXCLUDED,Did not meet extraction criteria (see notes),Acropora palmata,Belize,survival,survival after 6 weeks
Rosales et al. 2024,Detmer 2025,Detmer,full_text,INCLUDED,Tier 2 hand: Survival,Acropora palmata,Florida Keys,survival,survival after 1.5 yrs; range across reefs and genets; see Table S3 for more detail; size estimated from FIg. 1
Roth et al. 2013,Detmer 2025,Detmer,full_text,EXCLUDED,Data overlap with included study (same Haulover Bay colonies as Rogers & Muller 2012; confirmed from paper's explicit citation and acknowledgments; overlap audit 2026-03-26),Acropora palmata,US Virgin Islands,survival+growth,Originally INCLUDED as Tier 2 hand: Survival. Excluded after overlap audit confirmed same colony data as Rogers & Muller 2012. [Year corrected 2012->2013: Dis Aquat Org 104:35-47 published 2013; typo Acopora->Acropora also fixed]
Schutter et al. 2023,Detmer 2025,Detmer,full_text,EXCLUDED,Recruits/microfragments (<1 cm²),Acropora palmata,lab (ex situ nursery),survival+growth,"survival after 4, 9, and 14 weeks in aquaculture, respectively; see Fig. 6A for variations across treatments. settlers per plug: 49 had 1 recruit, 20 "
Steinberg 2021,Detmer 2025,Detmer,full_text,EXCLUDED,Wrong species (Orbicella faveolata),Orbicella faveolata,Florida,survival+growth,rates over 2.5 yrs (?); initial size class and species did not have significant effects on survival
Vardi 2011,Detmer 2025,Detmer,full_text,INCLUDED,Tier 2 hand: Survival,Acropora palmata,Jamaica,survival,
Vardi et al. 2011,Detmer 2025,Detmer,full_text,EXCLUDED,Did not meet extraction criteria (see notes),Acropora palmata,Jamaica,growth,annual transition probabilities
Vardi et al. 2012,Detmer 2025,Detmer,full_text,INCLUDED,Tier 2 hand: Survival + fragmentation,Acropora palmata,Florida Keys,survival+growth,"Same study as Vardi 2011 dissertation; FL Keys data excluded for NOAA overlap; only Jamaica/PR/Virgin Gorda regions retained. Size is 2-D SA; survival over 1 year averaged over 6 years"
Vermeij & Sandin 2008,Detmer 2025,Detmer,full_text,EXCLUDED,Wrong species (Siderastrea radians),Siderastrea radians,Florida Keys,survival,"survival over 3 months; range of averages, decrease with increasing coral cover; <20% of settlers reached 2-polyp stage (Fig. 4)"
Williams & Miller 2010,Detmer 2025,Detmer,full_text,INCLUDED,Tier 2 hand: Survival,Acroporal palmata,Florida,survival,"survival after 44 weeks (~10 months): ""Out of 54 total fragments, only one (in the cable tied treatment) suffered complete mortality in situ. Nine wer"
Williams et al. 2008,Detmer 2025,Detmer,full_text,EXCLUDED,Settlement/recruitment (different life stage),Acropora palmata,Florida Keys,survival,<5% of observed fragments produced by 2005 hurricanes recruited to substrate and become new colonies
Williams et al. 2017,Detmer 2025,Detmer,full_text,EXCLUDED,Did not meet extraction criteria (see notes),Acropora palmata,Florida Keys,survival,survival after 2 yrs
Bright et al. 2013,Expansion 2026,Stier Lab,full_text,EXCLUDED,NOAA data overlap (core NOAA monitoring),Acropora palmata,,,Independently verified
Bythell et al. 1993 (Hugo),Expansion 2026,Stier Lab,full_text,EXCLUDED,No A. palmata data (community transects),Acropora palmata,,,Independently verified
Bythell et al. 1993 (chronic),Expansion 2026,Stier Lab,full_text,EXCLUDED,"Wrong species (M. annularis, P. astreoides)",Acropora palmata,,,Independently verified
Chapron et al. 2023,Expansion 2026,Stier Lab,full_text,EXCLUDED,Data overlap (same colonies as Kuffner 2020),Acropora palmata,,,Independently verified
Croquer et al. 2016,Expansion 2026,Stier Lab,full_text,EXCLUDED,Cross-sectional (single survey 2014),Acropora palmata,,,Independently verified
Garcia-Uruena et al. 2020,Expansion 2026,Stier Lab,full_text,EXCLUDED,Cross-sectional (no individual tracking),Acropora palmata,,,Independently verified
Gladfelter 1982,Expansion 2026,Stier Lab,full_text,EXCLUDED,"Disease mortality (quadrat-level, not individual)",Acropora palmata,,,Independently verified
Gladfelter et al. 1978,Expansion 2026,Stier Lab,full_text,EXCLUDED,"Linear growth only (mm/yr, not areal)",Acropora palmata,,,Independently verified
Gonzalez-Diaz et al. 2019,Expansion 2026,Stier Lab,full_text,EXCLUDED,Cross-sectional (single survey 2017),Acropora palmata,,,Independently verified
Highsmith et al. 1980,Expansion 2026,Stier Lab,full_text,EXCLUDED,Fragment survival only (extracted to fragmentation file),Acropora palmata,,,Independently verified
Horta-Puga et al. 2014,Expansion 2026,Stier Lab,full_text,EXCLUDED,"Cross-sectional (population-level, no tracking)",Acropora palmata,,,Independently verified
Idjadi et al. 2007,Expansion 2026,Stier Lab,full_text,EXCLUDED,Wrong species focus (A. cervicornis),Acropora palmata,,,Independently verified
Knowlton et al. 1990,Expansion 2026,Stier Lab,full_text,EXCLUDED,Wrong species (A. cervicornis),Acropora palmata,,,Independently verified
Lirman 2003,Expansion 2026,Stier Lab,full_text,EXCLUDED,Model parameterization (same data as Lirman 2000),Acropora palmata,,,Independently verified
Miller et al. 2009,Expansion 2026,Stier Lab,full_text,EXCLUDED,"NOAA/USGS overlap (community cover, not A. palmata)",Acropora palmata,,,Independently verified
Muller et al. 2008,Expansion 2026,Stier Lab,full_text,EXCLUDED,"Imprecise survival (~17% of 60); no colony sizes; bleaching-confounded; primary focus is disease prevalence/partial mortality (IRR audit 2026-03-26)",Acropora palmata,,,IRR audit: Reviewer 1 originally included; independent review excluded
Muller et al. 2014,Expansion 2026,Stier Lab,full_text,EXCLUDED,NOAA/USGS data overlap (Haulover Bay colonies),Acropora palmata,,,Independently verified
Neely et al. 2022,Data sharing 2026-04,Stier,full_text,INCLUDED,"878 individually tagged colonies at 9 FL Keys sites (19 plots) tracked 2010-2016 over 7 timepoints. LAI = live tissue area (cm2). Raw data shared directly by K. Neely (Nova Southeastern University). No NOAA overlap. Tier 1 individual-level. Includes catastrophic 2014 disease event (53% survival). Disturbance intervals flagged in data.",Acropora palmata,"Florida Keys (Biscayne NP, Middle Keys, Lower Keys, Dry Tortugas)",survival growth,"Updated from EXCLUDED to INCLUDED after receiving raw data via direct request (2026-04-01). Original 508-colony count was from literature; actual dataset has 878 colonies."
Pinon-Gonzalez & Banaszak 2018,Expansion 2026,Stier Lab,full_text,EXCLUDED,Incompatible growth metric (branch-tip cm²/day),Acropora palmata,,,Independently verified
Ramos et al. 2024,Expansion 2026,Stier Lab,full_text,EXCLUDED,Invalid survival proxy (RM prevalence ≠ mortality),Acropora palmata,,,Independently verified
Ramos-Romero et al. 2025,Expansion 2026,Stier Lab,full_text,INCLUDED,"Tier 2 expanded search: 200 fragments, 4 Cuba sites",Acropora palmata,,,Independently verified
Rodriguez-Martinez et al. 2014,Expansion 2026,Stier Lab,full_text,EXCLUDED,Cross-sectional (distribution survey),Acropora palmata,,,Independently verified
Rogers & Muller 2012,Expansion 2026,Stier Lab,full_text,INCLUDED,"Tier 2 expanded search: 69 colonies, 7yr survival",Acropora palmata,,,Independently verified
Rogers et al. 1982,Expansion 2026,Stier Lab,full_text,INCLUDED,"Tier 2 expanded search: 173 labeled branches at 2 St. Croix sites tracked 11mo post-hurricane; comparable to existing fragment data (IRR audit 2026-03-26)",Acropora palmata,,,IRR audit: Reviewer 1 originally excluded; independent review included
Rogers et al. 2006,Expansion 2026,Stier Lab,full_text,EXCLUDED,"Cross-sectional (repeated census, not tracking)",Acropora palmata,,,Independently verified
Rylaarsdam 1983,Expansion 2026,Stier Lab,full_text,EXCLUDED,"Wrong species (A. cervicornis zone, no A. palmata)",Acropora palmata,,,Independently verified
Sutherland et al. 2016,Expansion 2026,Stier Lab,full_text,EXCLUDED,"Contemporary survey overlaps NOAA at Carysfort/Molasses (paper acknowledges p.11); EDR historical is photostation not tagged colonies; TKO ambiguity (IRR audit 2026-03-26)",Acropora palmata,,,IRR audit: Reviewer 1 originally included; independent review excluded
Thornhill et al. 2011,Expansion 2026,Stier Lab,full_text,EXCLUDED,No demographic data (tissue biomass physiology),Acropora palmata,,,Independently verified
Tunnicliffe 1981,Expansion 2026,Stier Lab,full_text,EXCLUDED,Wrong species (A. cervicornis),Acropora palmata,,,Independently verified
Williams & Miller 2008,Expansion 2026,Stier Lab,full_text,EXCLUDED,NOAA data overlap (IS the NOAA dataset),Acropora palmata,,,Independently verified
Williams & Miller 2012,Expansion 2026,Stier Lab,full_text,EXCLUDED,NOAA data overlap (IS the NOAA dataset),Acropora palmata,,,Independently verified
Williams et al. 2023,Expansion 2026,Stier Lab,full_text,EXCLUDED,No demographic data (spawning observations),Acropora palmata,,,Independently verified
Williams et al. 2024,Expansion 2026,Stier Lab,full_text,EXCLUDED,"NOAA data overlap (genet-level, single event)",Acropora palmata,,,Independently verified
NOAA_survey (Williams et al.),Detmer 2025,Detmer,data_repository,INCLUDED,Tier 1 individual: NOAA NCEI data repository; 4025 colonies FL/Curacao/Navassa,Acropora palmata,,survival+growth,Raw data obtained from repository/sharing
USGS_USVI (unpublished),Detmer 2025,Detmer,data_repository,INCLUDED,Tier 1 individual: USGS CMGDS data release; 92 outplanted fragments USVI,Acropora palmata,,survival+growth,Raw data obtained from repository/sharing
Fundemar (unpublished),Detmer 2025,Detmer,data_repository,INCLUDED,Tier 1 individual: Direct data sharing; 156 nursery fragments Dominican Republic,Acropora palmata,,survival+growth,Raw data obtained from repository/sharing
Howe-Kerr et al. 2024,Expansion 2026,Stier Lab,full_text,EXCLUDED,"Mislabeled duplicate of Rosales et al. 2024 (Comm Earth Environ 5:689); same PDF byte-identical; data already included under rosales_et_al_2024",Acropora palmata,Florida Keys,,PDF filename misleading — no author named Howe-Kerr on the paper
Zubillaga et al. 2008,Expansion 2026,Stier Lab,full_text,EXCLUDED,"Cross-sectional population assessment; no individual tracking; reports density/size structure/disease prevalence at single timepoint across 10 Los Roques (Venezuela) sites; n=675 colonies",Acropora palmata,Venezuela,,New region (Venezuela) but data not extractable
Caballero-Aragon et al. 2019,Expansion 2026,Stier Lab,full_text,EXCLUDED,"Cross-sectional survey of 41 Cuban sites (2010-2012); mortality = partial tissue loss prevalence not whole-colony death; no longitudinal tracking",Acropora palmata,Cuba,,New region (Cuba) but data not extractable
Weil et al. 2020,Expansion 2026,Stier Lab,full_text,EXCLUDED,"Wrong species — study on A. cervicornis (n=29) and A. prolifera (n=18); A. palmata mentioned in intro but not studied",Acropora cervicornis,Puerto Rico,,
Manzello et al. 2025,PubMed formal 2026-03-29,Stier Lab,full_text,EXCLUDED,"E4: Data overlap — compiles 52356 colonies from NOAA + CRF + Mote + USGS programs already included; combined Acropora spp. (palmata + cervicornis not separable); acute 2023 heatwave event",Acropora palmata + cervicornis,Florida,,PubMed PMID 41129628; Science 390:361-366; context paper (PDF in library)
Muller et al. 2025,PubMed formal 2026-03-29,Stier Lab,full_text,EXCLUDED,"E8+E4: Review/synthesis of 20yr FL Acropora restoration programs; data from NOAA + CRF + Mote already included; no new primary demographic data; = Young et al. 2025 previously flagged",Acropora palmata + cervicornis,Florida,,PubMed PMID 41273189; Conservation Biology e70168; lead author Erinn Muller not Young
Birkart & Alvarez-Filip 2025,PubMed formal 2026-03-29,Stier Lab,full_text,EXCLUDED,"E2: Cross-sectional drone aerial imagery assessment of reef-scale mortality; no individual colony tracking; 100% mortality at Puerto Morelos from 2023 heatwave",Acropora palmata,Mexico (Puerto Morelos),,PubMed PMID 41210959; context paper (PDF in library)
Wilson & Edmunds 2026,PubMed formal 2026-03-29,Stier Lab,full_text,EXCLUDED,"E8: Review/conceptual paper on coral rarity; multi-species; A. palmata mentioned as one example; no primary demographic data",Multiple species,Caribbean,,PubMed PMID 41454911; Conservation Biology 40:e70200
Cramer et al. 2020,PubMed formal 2026-03-29,Stier Lab,full_text,EXCLUDED,"E2+E8: Historical/paleoecological synthesis; cross-sectional surveys + fossil reef cores; combined Acropora spp.; no individual colony tracking",Acropora palmata + cervicornis,Caribbean-wide,,PubMed PMID 32426458; Science Advances 6:eaax9395; context paper (PDF in library)
Banister et al. 2024,PubMed formal 2026-03-29,Stier Lab,full_text,EXCLUDED,"E2+E3: Cross-sectional BRT habitat suitability model; occurrence data not demographic rates; no survival or growth tracking",Acropora palmata,Florida,,PubMed PMID 38166125; PLoS ONE 19:e0296485
Young et al. 2024,Expanded search 2026-03-29,Stier Lab,full_text,EXCLUDED,"E3: Gene expression/transcriptomics study; no demographic survival or growth data",Acropora palmata,Florida,,Genet identity and season drive gene expression in outplanted A. palmata; no survival tracking
Yuen et al. 2023,Expanded search 2026-03-29,Stier Lab,full_text,EXCLUDED,"E2: Habitat suitability model (occurrence-based); no individual colony survival or growth tracking",Acropora palmata,Florida,,Habitat suitability models of elkhorn coral; MaxEnt-type occurrence modeling
Souza et al. 2023,Expanded search 2026-03-29,Stier Lab,full_text,EXCLUDED,"E7: Measures donor colony tissue recovery after pruning (3D modeling); not fragment survival or whole-colony demographic tracking",Acropora palmata,Mexican Caribbean,,Rev Biol Trop 71(S1):e54910; pruning as restoration strategy
Forrester et al. 2012,Expanded search 2026-03-29,Stier Lab,full_text,EXCLUDED,"E6: Observation period 2 weeks (below 3-month threshold); transplant stress assessment not demographic monitoring",Acropora palmata,British Virgin Islands,,Bull Mar Sci 88(4); same BVI site as Forrester 2013 (already included) but short-term transplant shock study
Miller & Williams 2015,Expanded search 2026-03-29,Stier Lab,full_text,EXCLUDED,"E8: Methodological framework paper for outplant design evaluation; no primary survival data reported",Acropora palmata,Florida,,Strategy document for NOAA restoration monitoring; not primary data
Hernandez-Delgado et al. 2024,Expanded search 2026-03-29,Stier Lab,full_text,EXCLUDED,"E3: Reef fish community response to elkhorn restoration; no coral survival or growth data",Acropora palmata,Puerto Rico,,Sustainability 16(14):5985; fish biodiversity not coral demography
Bak 1983,Expanded search 2026-03-29,Stier Lab,full_text,EXCLUDED,"E7: Neoplasia/lesion regeneration and linear growth suppression study (n=32 lesions); not whole-colony survival or areal growth tracking",Acropora palmata,Curacao,,Mar Biol 77:221-227; recovery from lesions within 80 days
