Region,Reef,Plot,Latitude,Longitude,Depth(m),TotalSurveys,Q01-Spr 2004,Q02-Sum 2004,Q03-Fall 2004,Q04-Win 2005,Q05-Spr 2005,Q06-Sum 2005,Q07-Fall 2005,Q08-Win 2006,Q09-Spr 2006,Q10-Sum 2006,Q11-Fall 2006,Q13-Spr 2007,Q15-Fall 2007,Q16-Win 2007,Q17-Spr 2008,Q19-Fall 2008,Q20-Win 2008,Q21-Spr 2009,Q23-Fall 2009,Q24-Win 2009,Q25-Spr 2010,Q27-Fall 2010,Q28-Win 2010,Q29-Spr 2011,Q30-Sum 2011,Q31-Fall 2011,Q32-Win 2011,Q33-Spr 2012,Q34-Fall 2012,Q35-Win 2013,Q36-Spr 2013,Q37-Sum 2013,Q38-Fall 2013,Q39-Win 2014,Q40-Spr 2014,Q41-Sum 2014,Q42-Fall 2014,Q43-Win 2015,Q44-Spr 2015,Q45-Sum 2015,Q46-Fall 2015,Q47-Win 2016,Q48-Spr 2016,Q49-Sum 2016,Q50-Fall 2016,Q51-Win 2017,Q52-Spr 2017,Q53-Sum 2017,Q54-Fall 2017,Q55-Win 2018,Q56-Spr 2018,Q57-Sum 2018,Q58-Fall 2018,Q60-Spr 2019,Q61-Sum 2019,Q62-Fall 2019,Q64-Fall 2022,Q65-Sum 2023,Q66-Fall 2023,Q67-Win 2023,Q68-Sum2024
Florida Keys,Elbow Reef,EL3,25.143881,-80.257827,4,50,ADE,ADE,ABCDE,ADE,ADE,ABCDE,,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,DE,,ABCDE,,ADE,,ABCDE,ADE,,ABCDE,ABC,,ABC,BC,
Florida Keys,Elbow Reef,EL4,25.145086,-80.257301,4.9,49,ADE,ADE,ABCDE,ADE,ABCDE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,DE,,ABCDE,,ADE,,ABCDE,ADE,,ABCDE,ABC,,ABC,,
Florida Keys,Elbow Reef,EL5,25.145179,-80.257389,4.9,44,ADE,ADE,ABCDE,ADE,ABCDE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,DE,,ABCDE,,ADE,,,,,,,,,,
Florida Keys,French Reef,FR1,25.033886,-80.349365,6.4,49,ADE,ADE,ABCDE,ADE,ADE,ABCDE,,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,ADE,,ABCDE,,ADE,,ABCDE,ADE,,ABCDE,ABC,ABC,,ABC,
Florida Keys,French Reef,FR2,25.033681,-80.349545,4.9,37,,,,,,,,,,,,,ADE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,,ABC,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,ADE,,ABCDE,,ADE,,ABCDE,ADE,,ABCDE,ABC,ABC,,ABC,
Florida Keys,French Reef,FR3,25.035184,-80.349037,3.7,28,,,,,,,,,,,,,,,,,,,,,ABCDE,ADE,ADE,ABCDE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,ADE,,ABCDE,,ADE,,ABCDE,ADE,,ABCDE,ABC,,,,
Florida Keys,French Reef,FR4,25.03438,-80.34888,4.7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABCE,,ABCDE,BC,B,,,B
Florida Keys,French Reef,FR5,25.0342,-80.34897,4.7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABCE,,ABCDE,BC,B,,,B
Florida Keys,Grecian Rocks,GR1,25.109051,-80.305243,3.7,29,,,,,,,,,,,,,,,,,,,,,ABCDE,ADE,ADE,ABCDE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,ADE,,ABCDE,,ADE,,ABCDE,ADE,,ABCDE,ABC,,,ABC,
Florida Keys,Grecian Rocks,GR2,25.112082,-80.303222,2.1,25,,,,,,,,,,,,,,,,,,,,,ABCDE,ADE,ADE,ABCDE,,ABCDE,A,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,DE,,ABCDE,,ADE,,ABCDE,,,,,,,,
Florida Keys,Grecian Rocks,GR3,25.109261,-80.306191,1.5,26,,,,,,,,,,,,,,,,,,,,,,,,,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,DE,,ABCDE,,ADE,,ABCDE,ADE,,ABCDE,ABC,ABC,,ABC,
Florida Keys,Horseshoe Reef,HS1,25.139817,-80.294117,4.2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC,,,BC,BC,,,BC,,,ABCDE,,BC,,BC,BC,
Florida Keys,Horseshoe Reef,HS2,25.13995,-80.294983,3.7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC,,,BC,BC,,,BC,,,ABCDE,,BC,,BC,BC,
Florida Keys,Horseshoe Reef,HS3,25.14005,-80.294617,3.6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC,,,BC,BC,,,BC,,,ABCDE,,BC,,,,
Florida Keys,Key Largo Dry Rocks,KL1,25.123581,-80.297359,2.1,49,ADE,ADE,ABCDE,ADE,ADE,ABCDE,A,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,ADE,,ABCDE,,ADE,,ABCDE,ADE,,ABCDE,ABC,ABC,,,
Florida Keys,Key Largo Dry Rocks,KL2,25.122897,-80.297886,2.1,14,ADE,ADE,ABCDE,ADE,ADE,ABCDE,A,ADE,ABCDE,ADE,ADE,ABCDE,,,ABCDE,,,ABCDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Keys,Key Largo Dry Rocks,KL3,25.122538,-80.298287,3,43,,,ABCDE,ADE,ADE,ABCDE,A,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,ADE,,ABCDE,,ADE,,ABCDE,,,,,,,,
Florida Keys,Key Largo Dry Rocks,KL4,25.124294,-80.298833,1.8,24,,,,,,,,,,,,,,,,,,,,,ABCDE,ADE,ADE,ABCDE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,DE,,ABCDE,,ADE,,,,,,,,,,
Florida Keys,Little Elbow,LE1,25.154715,-80.267745,3.8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,,,BC,,,B
Florida Keys,Little Elbow,LE2,25.15391,-80.2678,3.6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC,,ABC,ABC
Florida Keys,Little Grecian,LG1,25.119263,-80.300324,3.1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC,,BC,
Florida Keys,Molasses Reef,ML1,25.00958,-80.37481,3.7,45,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,DE,,ABCDE,,ADE,,ABCDE,,,,,,,,
Florida Keys,Molasses Reef,ML2,25.009122,-80.374734,5.5,48,ADE,ADE,ABCDE,ADE,ABCDE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,AD,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,DE,,ABCDE,,ADE,,ABCDE,ADE,,ABCDE,ABC,,,,
Florida Keys,Molasses Reef,ML3,25.010151,-80.373305,4.3,48,ADE,ADE,ABCDE,ADE,ABCDE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,DE,,ABCDE,,ADE,,ABCDE,ADE,,ABCDE,ABC,,,,
Florida Keys,North Dry Rocks,ND1,25.129602,-80.293782,3.7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,,,BC,,BC,BC,
Florida Keys,North Dry Rocks,ND2,25.129876,-80.293751,3.7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,,,BC,,BC,BC,
Florida Keys,North Dry Rocks,ND3,25.129986,-80.293936,3.7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,,,BC,,BC,BC,
Florida Keys,North North Dry Rocks,NN1,25.136698,-80.290202,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC,,,BCE,,,B,,BC,
Florida Keys,North North Dry Rocks,NN2,25.137268,-80.28897,3.8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC,,,BCE,,BC,,B,BC,
Florida Keys,North North Dry Rocks,NN3,25.137769,-80.289382,3.6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC,,,BCE,,BC,,B,BC,
Florida Keys,Phil's Reef,PH1,25.015817,-80.405214,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,BC,
Florida Keys,South Carysfort,SC1,25.208879,-80.21947,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,,,B,,BC,
Florida Keys,South Carysfort,SC2,25.208822,-80.219338,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,,,B,,BC,
Florida Keys,South Carysfort,SC3,25.210062,-80.218462,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,,,BC,,
Florida Keys,Sand Island,SI1,25.018314,-80.368583,3.7,34,,,,,,,,,,,,,,,,,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,DE,,ABCDE,,ADE,,ABCDE,ADE,,ABCDE,ABC,,BC,BC,
Florida Keys,Sand Island,SI2,25.018249,-80.368447,3.4,34,,,,,,,,,,,,,,,,,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,DE,,ABCDE,,ADE,,ABCDE,ADE,,ABCDE,ABC,,ABC,ABC,
Florida Keys,Sand Island,SI3,25.018128,-80.368348,3.7,34,,,,,,,,,,,,,,,,,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,DE,,ABCDE,,ADE,,ABCDE,ADE,,ABCDE,ABC,,ABC,ABC,
Florida Keys,Turtle Rocks,TR1,25.28067,-80.20888,2.4,12,,,,,,,,,,,,,,,,,,ABCDE,ADE,ADE,ABCDE,,,,ABCDE,,,,,,,ABC,,,,ABC,,,,ABC,,,,B,,,,B,B,,,B,,,,,,,,,
Florida Keys,Turtle Rocks,TR2,25.28072,-80.20907,2.4,12,,,,,,,,,,,,,,,,,,ABCDE,ADE,ADE,ABCDE,,,,ABCDE,,,,,,,ABC,,,,ABC,,,,ABC,,,,B,,,,B,B,,,B,,,,,,,,,
Florida Keys,Turtle Rocks,TR3,25.28078,-80.20882,2.4,12,,,,,,,,,,,,,,,,,,ABCDE,ADE,ADE,ABCDE,,,,ABCDE,,,,,,,ABC,,,,ABC,,,,ABC,,,,B,,,,B,B,,,B,,,,,,,,,
Florida Keys,Watson's Reef,WA1,25.1867,-80.24211,3.2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC,,,,B,,B,,B,
Florida Keys,Watson's Reef,WA2,25.18605,-80.24247,2.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,B,,B,
Florida Keys,Watson's Reef,WA3,25.18629,-80.24284,2.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,B,,B,
Curacao,Blue Baai,BB1,12.135109,-68.986818,3,10,,,,,,,,,ADE,,,ABCDE,,,AD,,,,ABCDE,,,ABCDE,,,ABCDE,,,,ABC,,,ABCD,,,,ABC,,,,ABC,,,,,,,,,,,,,,,,,,,,,
Curacao,Blue Baai,BB2,12.135202,-68.987383,3,10,,,,,,,,,ADE,,,ABCDE,,,ABCDE,,,,ABCDE,,,ABCDE,,,ABCD,,,,ABCDE,,,ABCD,,,,ABC,,,,ABC,,,,,,,,,,,,,,,,,,,,,
Curacao,Blue Baai,BB3,12.135267,-68.987104,2.7,10,,,,,,,,,ABCDE,,,ABCDE,,,ABCD,,,,ABCDE,,,ABCDE,,,ABCDE,,,,ABCDE,,,ABCD,,,,ABC,,,,ABC,,,,,,,,,,,,,,,,,,,,,
Curacao,Boca Santa Marta,SM1,12.268331,-69.129461,2.7,7,,,,,,,,,ABCDE,,,ABCDE,,,AD,,,,ABCD,,,ABCDE,,,ABCD,,,,,,,ABCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,Boca Santa Marta,SM2,12.267807,-69.128565,2.4,8,,,,,,,,,ABCDE,,,ABCDE,,,ABCDE,,,,ABCDE,,,ABCDE,,,ABCD,,,,ABC,,,ABCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,Boca Santa Marta,SM3,12.266826,-69.127415,3,4,,,,,,,,,ABCDE,,,ABCDE,,,ABC,,,,ABCDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,Sea Aquarium Reef,SQ1,12.084208,-68.893882,3.9,10,,,,,,,,,ABDE,,,ABCDE,,,ABCDE,,,,ABCDE,,,ABCDE,,,ABCD,,,,ABC,,,ABCD,,,,ABC,,,,ABC,,,,,,,,,,,,,,,,,,,,,
Curacao,Sea Aquarium Reef,SQ2,12.083209,-68.895032,4.5,10,,,,,,,,,ABDE,,,ABDE,,,ABDE,,,,ABDE,,,ABCDE,,,ABCDE,,,,ABC,,,ABCD,,,,ABC,,,,AB,,,,,,,,,,,,,,,,,,,,,
Curacao,Sea Aquarium Reef,SQ3,12.083075,-68.895931,3.3,10,,,,,,,,,ABDE,,,ABCDE,,,ABCDE,,,,ABCDE,,,ABC,,,ABCD,,,,ABC,,,ABC,,,,ABC,,,,ABC,,,,,,,,,,,,,,,,,,,,,
Curacao,Water Factory,WF1,12.110441,-68.956475,3,5,,,,,,,,,,,,,,,,,,,,,,,,,ABCDE,,,,ABC,,,ABCD,,,,ABC,,,,AB,,,,,,,,,,,,,,,,,,,,,
Curacao,Water Factory,WF2,12.110385,-68.956205,3.3,5,,,,,,,,,,,,,,,,,,,,,,,,,ABCDE,,,,ABCD,,,ABC,,,,ABC,,,,ABC,,,,,,,,,,,,,,,,,,,,,
Curacao,Water Factory,WF3,12.109803,-68.955239,2.7,5,,,,,,,,,,,,,,,,,,,,,,,,,ABCDE,,,,ABC,,,ABC,,,,ABC,,,,ABC,,,,,,,,,,,,,,,,,,,,,
Navassa,LuLu Bay,LB1,18.396638,-75.018962,5.5,3,,,,,,,,,,,ABC,,,,,,,ABC,,,,,,,,,,,ABC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navassa,LuLu Bay,LB2,18.396387,-75.018835,5.5,3,,,,,,,,,,,ABC,,,,,,,ABC,,,,,,,,,,,ABC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navassa,Northwest Point,NW1,18.413855,-75.029866,6.7,3,,,,,,,,,,,ABC,,,,,,,ABC,,,,,,,,,,,ABC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navassa,Northwest Point,NW2,18.413941,-75.029636,7,3,,,,,,,,,,,ABC,,,,,,,ABC,,,,,,,,,,,ABC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navassa,Northwest Point,NW3,18.413687,-75.029231,5.5,3,,,,,,,,,,,ABC,,,,,,,ABC,,,,,,,,,,,ABC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
