region,location,plot,site_id,site_year,latitude,longitude,survey_year_num,n_survival,survival_rate,median_size_cm2,disturbance_state,population_type,n_growth,positive_growth_rate
Curacao,Sea Aquarium Reef,SQ1,Curacao.Sea Aquarium Reef.SQ1,Curacao.Sea Aquarium Reef.SQ1.2010,12.084208,-68.893882,2010,11,0.6363636363636364,4750,No curated disturbance,Natural colony,7,0.5714285714285714
Curacao,Sea Aquarium Reef,SQ1,Curacao.Sea Aquarium Reef.SQ1,Curacao.Sea Aquarium Reef.SQ1.2011,12.084208,-68.893882,2011,7,1,2091,Context-only pressure,Natural colony,7,0.42857142857142855
Curacao,Sea Aquarium Reef,SQ1,Curacao.Sea Aquarium Reef.SQ1,Curacao.Sea Aquarium Reef.SQ1.2012,12.084208,-68.893882,2012,13,0.6923076923076923,499.5,Context-only pressure,Natural colony,9,0.1111111111111111
Curacao,Sea Aquarium Reef,SQ1,Curacao.Sea Aquarium Reef.SQ1,Curacao.Sea Aquarium Reef.SQ1.2013,12.084208,-68.893882,2013,9,0.6666666666666666,730.8,Context-only pressure,Natural colony,6,0.16666666666666666
Curacao,Sea Aquarium Reef,SQ1,Curacao.Sea Aquarium Reef.SQ1,Curacao.Sea Aquarium Reef.SQ1.2014,12.084208,-68.893882,2014,12,0.9166666666666666,187.2,Context-only pressure,Natural colony,10,0.6
Curacao,Sea Aquarium Reef,SQ1,Curacao.Sea Aquarium Reef.SQ1,Curacao.Sea Aquarium Reef.SQ1.2015,12.084208,-68.893882,2015,11,0.36363636363636365,378,Context-only pressure,Natural colony,4,0.5
Curacao,Sea Aquarium Reef,SQ2,Curacao.Sea Aquarium Reef.SQ2,Curacao.Sea Aquarium Reef.SQ2.2007,12.083209,-68.895032,2007,12,0.9166666666666666,2115.9,No curated disturbance,Natural colony,11,0.7272727272727273
Curacao,Sea Aquarium Reef,SQ2,Curacao.Sea Aquarium Reef.SQ2,Curacao.Sea Aquarium Reef.SQ2.2008,12.083209,-68.895032,2008,11,0.8181818181818182,4275,No curated disturbance,Natural colony,9,0.6666666666666666
Curacao,Sea Aquarium Reef,SQ2,Curacao.Sea Aquarium Reef.SQ2,Curacao.Sea Aquarium Reef.SQ2.2009,12.083209,-68.895032,2009,9,0.6666666666666666,6720,No curated disturbance,Natural colony,6,0.6666666666666666
Curacao,Sea Aquarium Reef,SQ2,Curacao.Sea Aquarium Reef.SQ2,Curacao.Sea Aquarium Reef.SQ2.2010,12.083209,-68.895032,2010,6,0.6666666666666666,2837.6,No curated disturbance,Natural colony,4,1
Curacao,Sea Aquarium Reef,SQ2,Curacao.Sea Aquarium Reef.SQ2,Curacao.Sea Aquarium Reef.SQ2.2011,12.083209,-68.895032,2011,12,0.9166666666666666,2020,Context-only pressure,Natural colony,11,0.36363636363636365
Curacao,Sea Aquarium Reef,SQ2,Curacao.Sea Aquarium Reef.SQ2,Curacao.Sea Aquarium Reef.SQ2.2012,12.083209,-68.895032,2012,12,0.8333333333333334,2137.6000000000004,Context-only pressure,Natural colony,10,0.6
Curacao,Sea Aquarium Reef,SQ2,Curacao.Sea Aquarium Reef.SQ2,Curacao.Sea Aquarium Reef.SQ2.2013,12.083209,-68.895032,2013,10,0.9,1763.7,Context-only pressure,Natural colony,9,0.5555555555555556
Curacao,Sea Aquarium Reef,SQ2,Curacao.Sea Aquarium Reef.SQ2,Curacao.Sea Aquarium Reef.SQ2.2014,12.083209,-68.895032,2014,12,0.75,1230.6,Context-only pressure,Natural colony,9,0.8888888888888888
Curacao,Sea Aquarium Reef,SQ2,Curacao.Sea Aquarium Reef.SQ2,Curacao.Sea Aquarium Reef.SQ2.2015,12.083209,-68.895032,2015,9,0.7777777777777778,1278,Context-only pressure,Natural colony,6,0.5
Curacao,Sea Aquarium Reef,SQ3,Curacao.Sea Aquarium Reef.SQ3,Curacao.Sea Aquarium Reef.SQ3.2007,12.083075,-68.895931,2007,12,0.75,4826.5599999999995,No curated disturbance,Natural colony,9,0.8888888888888888
Curacao,Sea Aquarium Reef,SQ3,Curacao.Sea Aquarium Reef.SQ3,Curacao.Sea Aquarium Reef.SQ3.2008,12.083075,-68.895931,2008,9,1,9555,No curated disturbance,Natural colony,9,0.5555555555555556
Curacao,Sea Aquarium Reef,SQ3,Curacao.Sea Aquarium Reef.SQ3,Curacao.Sea Aquarium Reef.SQ3.2009,12.083075,-68.895931,2009,9,0.6666666666666666,9600,No curated disturbance,Natural colony,6,0.5
Curacao,Sea Aquarium Reef,SQ3,Curacao.Sea Aquarium Reef.SQ3,Curacao.Sea Aquarium Reef.SQ3.2010,12.083075,-68.895931,2010,6,1,4316.25,No curated disturbance,Natural colony,6,1
Curacao,Sea Aquarium Reef,SQ3,Curacao.Sea Aquarium Reef.SQ3,Curacao.Sea Aquarium Reef.SQ3.2011,12.083075,-68.895931,2011,11,0.7272727272727273,4080.3,Context-only pressure,Natural colony,8,0.375
Curacao,Sea Aquarium Reef,SQ3,Curacao.Sea Aquarium Reef.SQ3,Curacao.Sea Aquarium Reef.SQ3.2012,12.083075,-68.895931,2012,11,1,4927.6,Context-only pressure,Natural colony,11,0.45454545454545453
Curacao,Sea Aquarium Reef,SQ3,Curacao.Sea Aquarium Reef.SQ3,Curacao.Sea Aquarium Reef.SQ3.2013,12.083075,-68.895931,2013,11,0.7272727272727273,4224.5,Context-only pressure,Natural colony,8,0.375
Curacao,Sea Aquarium Reef,SQ3,Curacao.Sea Aquarium Reef.SQ3,Curacao.Sea Aquarium Reef.SQ3.2014,12.083075,-68.895931,2014,12,0.75,1672.55,Context-only pressure,Natural colony,9,0.3333333333333333
Curacao,Sea Aquarium Reef,SQ3,Curacao.Sea Aquarium Reef.SQ3,Curacao.Sea Aquarium Reef.SQ3.2015,12.083075,-68.895931,2015,9,0.6666666666666666,1740.8,Context-only pressure,Natural colony,6,0.16666666666666666
Curacao,Water Factory,WF1,Curacao.Water Factory.WF1,Curacao.Water Factory.WF1.2012,12.110441,-68.956475,2012,12,0.9166666666666666,427.2,Context-only pressure,Natural colony,11,0.9090909090909091
Curacao,Water Factory,WF1,Curacao.Water Factory.WF1,Curacao.Water Factory.WF1.2013,12.110441,-68.956475,2013,11,1,648,Context-only pressure,Natural colony,10,1
Curacao,Water Factory,WF1,Curacao.Water Factory.WF1,Curacao.Water Factory.WF1.2014,12.110441,-68.956475,2014,12,1,1027.35,Context-only pressure,Natural colony,10,1
Curacao,Water Factory,WF1,Curacao.Water Factory.WF1,Curacao.Water Factory.WF1.2015,12.110441,-68.956475,2015,12,0.75,1498.375,Context-only pressure,Natural colony,8,0.75
Curacao,Water Factory,WF2,Curacao.Water Factory.WF2,Curacao.Water Factory.WF2.2012,12.110385,-68.956205,2012,12,1,1049.15,Context-only pressure,Natural colony,12,0.8333333333333334
Curacao,Water Factory,WF2,Curacao.Water Factory.WF2,Curacao.Water Factory.WF2.2013,12.110385,-68.956205,2013,12,0.9166666666666666,1270,Context-only pressure,Natural colony,9,0.8888888888888888
Curacao,Water Factory,WF2,Curacao.Water Factory.WF2,Curacao.Water Factory.WF2.2014,12.110385,-68.956205,2014,12,1,2436,Context-only pressure,Natural colony,11,0.6363636363636364
Curacao,Water Factory,WF2,Curacao.Water Factory.WF2,Curacao.Water Factory.WF2.2015,12.110385,-68.956205,2015,12,0.9166666666666666,1837.125,Context-only pressure,Natural colony,9,1
Curacao,Water Factory,WF3,Curacao.Water Factory.WF3,Curacao.Water Factory.WF3.2012,12.109803,-68.955239,2012,12,0.75,662.5,Context-only pressure,Natural colony,7,0.8571428571428571
Curacao,Water Factory,WF3,Curacao.Water Factory.WF3,Curacao.Water Factory.WF3.2013,12.109803,-68.955239,2013,8,0.75,1348,Context-only pressure,Natural colony,5,1
Curacao,Water Factory,WF3,Curacao.Water Factory.WF3,Curacao.Water Factory.WF3.2014,12.109803,-68.955239,2014,12,1,1850.4,Context-only pressure,Natural colony,12,0.75
Curacao,Water Factory,WF3,Curacao.Water Factory.WF3,Curacao.Water Factory.WF3.2015,12.109803,-68.955239,2015,12,0.6666666666666666,2548.5,Context-only pressure,Natural colony,8,0.5
Dominican Republic,Sombrero Reef,NA,NA,NA,18.37072,-68.84651,2021,44,0.8636363636363636,18.7635,Acute baseline-exclusion,Restoration fragment,717,0.8437935843793585
Dry Tortugas,PLS,NA,NA,NA,24.69355,-82.7728,2019,12,1,19.5,Context-only pressure,Restoration fragment,717,0.8437935843793585
Dry Tortugas,PLW,NA,NA,NA,24.7028,-82.79883,2019,12,1,19.75,Context-only pressure,Restoration fragment,717,0.8437935843793585
Florida Keys,AAA,NA,NA,NA,25.1685,-80.26681,2016,40,0.475,50.25,Acute baseline-exclusion,Restoration fragment,717,0.8437935843793585
Florida Keys,AAA,NA,NA,NA,25.1686,-80.26677,2016,40,0.275,47,Acute baseline-exclusion,Restoration fragment,717,0.8437935843793585
Florida Keys,AAA,NA,NA,NA,25.16864,-80.26669,2016,40,0.525,46.125,Acute baseline-exclusion,Restoration fragment,717,0.8437935843793585
Florida Keys,Ball Buoy Reef,BB1,Florida Keys.Ball Buoy Reef.BB1,Florida Keys.Ball Buoy Reef.BB1.2011,25.31618,-80.18725,2011,18,0.8888888888888888,465.0661111111111,Context-only pressure,Natural colony,16,0.5625
Florida Keys,Ball Buoy Reef,BB1,Florida Keys.Ball Buoy Reef.BB1,Florida Keys.Ball Buoy Reef.BB1.2012,25.31618,-80.18725,2012,25,0.68,307.2,Context-only pressure,Natural colony,16,0.375
Florida Keys,Ball Buoy Reef,BB1,Florida Keys.Ball Buoy Reef.BB1,Florida Keys.Ball Buoy Reef.BB1.2013,25.31618,-80.18725,2013,21,0.8571428571428571,181.17444444444445,Context-only pressure,Natural colony,18,0.6666666666666666
Florida Keys,Ball Buoy Reef,BB1,Florida Keys.Ball Buoy Reef.BB1,Florida Keys.Ball Buoy Reef.BB1.2014,25.31618,-80.18725,2014,20,0.65,160.865,Context-only pressure,Natural colony,13,0.5384615384615384
Florida Keys,Ball Buoy Reef,BB2,Florida Keys.Ball Buoy Reef.BB2,Florida Keys.Ball Buoy Reef.BB2.2011,25.31618,-80.18725,2011,15,0.8666666666666667,858.8166666666667,Context-only pressure,Natural colony,13,0.3076923076923077
Florida Keys,Ball Buoy Reef,BB2,Florida Keys.Ball Buoy Reef.BB2,Florida Keys.Ball Buoy Reef.BB2.2012,25.31618,-80.18725,2012,16,0.6875,610.8777777777777,Context-only pressure,Natural colony,8,0.625
Florida Keys,Ball Buoy Reef,BB2,Florida Keys.Ball Buoy Reef.BB2,Florida Keys.Ball Buoy Reef.BB2.2013,25.31618,-80.18725,2013,11,0.7272727272727273,317.4,Context-only pressure,Natural colony,8,0.75
Florida Keys,Ball Buoy Reef,BB2,Florida Keys.Ball Buoy Reef.BB2,Florida Keys.Ball Buoy Reef.BB2.2014,25.31618,-80.18725,2014,12,0.5833333333333334,266.71166666666664,Context-only pressure,Natural colony,7,0.42857142857142855
Florida Keys,CRK,NA,NA,NA,24.90908,-80.52665,2019,10,0.9,15,Context-only pressure,Restoration fragment,717,0.8437935843793585
Florida Keys,Carysfort Reef,CF1,Florida Keys.Carysfort Reef.CF1,Florida Keys.Carysfort Reef.CF1.2005,25.22194,-80.21055,2005,14,0.9285714285714286,2835,Acute baseline-exclusion,Natural colony,13,0.3076923076923077
Florida Keys,Carysfort Reef,CF1,Florida Keys.Carysfort Reef.CF1,Florida Keys.Carysfort Reef.CF1.2006,25.22194,-80.21055,2006,9,0.8888888888888888,3510,Acute baseline-exclusion,Natural colony,5,0
Florida Keys,Carysfort Reef,CF1,Florida Keys.Carysfort Reef.CF1,Florida Keys.Carysfort Reef.CF1.2007,25.22194,-80.21055,2007,5,0.8,1338.75,Context-only pressure,Natural colony,4,0.5
Florida Keys,Carysfort Reef,CF1,Florida Keys.Carysfort Reef.CF1,Florida Keys.Carysfort Reef.CF1.2008,25.22194,-80.21055,2008,4,1,1486.5,Context-only pressure,Natural colony,4,0.25
Florida Keys,Carysfort Reef,CF1,Florida Keys.Carysfort Reef.CF1,Florida Keys.Carysfort Reef.CF1.2009,25.22194,-80.21055,2009,3,1,1133,Acute baseline-exclusion,Natural colony,3,0.3333333333333333
Florida Keys,Carysfort Reef,CF1,Florida Keys.Carysfort Reef.CF1,Florida Keys.Carysfort Reef.CF1.2010,25.22194,-80.21055,2010,3,1,121,Acute baseline-exclusion,Natural colony,3,0.6666666666666666
Florida Keys,Carysfort Reef,CF1,Florida Keys.Carysfort Reef.CF1,Florida Keys.Carysfort Reef.CF1.2011,25.22194,-80.21055,2011,7,1,187,Context-only pressure,Natural colony,7,0.8571428571428571
Florida Keys,Carysfort Reef,CF1,Florida Keys.Carysfort Reef.CF1,Florida Keys.Carysfort Reef.CF1.2012,25.22194,-80.21055,2012,5,0.6,572,Context-only pressure,Natural colony,3,0.3333333333333333
Florida Keys,Carysfort Reef,CF1,Florida Keys.Carysfort Reef.CF1,Florida Keys.Carysfort Reef.CF1.2013,25.22194,-80.21055,2013,2,1,94.5,Context-only pressure,Natural colony,2,0.5
Florida Keys,Carysfort Reef,CF1,Florida Keys.Carysfort Reef.CF1,Florida Keys.Carysfort Reef.CF1.2014,25.22194,-80.21055,2014,2,1,84,Context-only pressure,Natural colony,2,1
Florida Keys,Carysfort Reef,CF1,Florida Keys.Carysfort Reef.CF1,Florida Keys.Carysfort Reef.CF1.2015,25.22194,-80.21055,2015,2,0.5,276,Context-only pressure,Natural colony,1,0
Florida Keys,Carysfort Reef,CF1,Florida Keys.Carysfort Reef.CF1,Florida Keys.Carysfort Reef.CF1.2016,25.22194,-80.21055,2016,1,1,23.4,Acute baseline-exclusion,Natural colony,1,0
Florida Keys,Carysfort Reef,CF1,Florida Keys.Carysfort Reef.CF1,Florida Keys.Carysfort Reef.CF1.2017,25.22194,-80.21055,2017,1,1,6,Acute baseline-exclusion,Natural colony,NA,NA
Florida Keys,Carysfort Reef,CF2,Florida Keys.Carysfort Reef.CF2,Florida Keys.Carysfort Reef.CF2.2005,25.22179,-80.210586,2005,12,1,7105.6,Acute baseline-exclusion,Natural colony,12,0.5833333333333334
Florida Keys,Carysfort Reef,CF2,Florida Keys.Carysfort Reef.CF2,Florida Keys.Carysfort Reef.CF2.2006,25.22179,-80.210586,2006,11,1,8525.5,Acute baseline-exclusion,Natural colony,10,0.2
Florida Keys,Carysfort Reef,CF2,Florida Keys.Carysfort Reef.CF2,Florida Keys.Carysfort Reef.CF2.2007,25.22179,-80.210586,2007,11,0.9090909090909091,3600,Context-only pressure,Natural colony,10,0.9
Florida Keys,Carysfort Reef,CF2,Florida Keys.Carysfort Reef.CF2,Florida Keys.Carysfort Reef.CF2.2008,25.22179,-80.210586,2008,10,1,6062.15,Context-only pressure,Natural colony,10,0.7
Florida Keys,Carysfort Reef,CF2,Florida Keys.Carysfort Reef.CF2,Florida Keys.Carysfort Reef.CF2.2009,25.22179,-80.210586,2009,10,0.9,6647,Acute baseline-exclusion,Natural colony,9,0.4444444444444444
Florida Keys,Carysfort Reef,CF2,Florida Keys.Carysfort Reef.CF2,Florida Keys.Carysfort Reef.CF2.2010,25.22179,-80.210586,2010,9,1,7875,Acute baseline-exclusion,Natural colony,9,0.6666666666666666
Florida Keys,Carysfort Reef,CF2,Florida Keys.Carysfort Reef.CF2,Florida Keys.Carysfort Reef.CF2.2011,25.22179,-80.210586,2011,12,0.9166666666666666,2569.25,Context-only pressure,Natural colony,11,0.18181818181818182
Florida Keys,Carysfort Reef,CF2,Florida Keys.Carysfort Reef.CF2,Florida Keys.Carysfort Reef.CF2.2012,25.22179,-80.210586,2012,12,0.9166666666666666,5170.4,Context-only pressure,Natural colony,11,0.2727272727272727
Florida Keys,Carysfort Reef,CF2,Florida Keys.Carysfort Reef.CF2,Florida Keys.Carysfort Reef.CF2.2013,25.22179,-80.210586,2013,12,1,5593.6,Context-only pressure,Natural colony,11,0.5454545454545454
Florida Keys,Carysfort Reef,CF2,Florida Keys.Carysfort Reef.CF2,Florida Keys.Carysfort Reef.CF2.2014,25.22179,-80.210586,2014,12,0.8333333333333334,6412.65,Context-only pressure,Natural colony,11,0.9090909090909091
Florida Keys,Carysfort Reef,CF2,Florida Keys.Carysfort Reef.CF2,Florida Keys.Carysfort Reef.CF2.2015,25.22179,-80.210586,2015,12,0.3333333333333333,8735.85,Context-only pressure,Natural colony,4,0
Florida Keys,Carysfort Reef,CF2,Florida Keys.Carysfort Reef.CF2,Florida Keys.Carysfort Reef.CF2.2016,25.22179,-80.210586,2016,1,0,2312.5,Acute baseline-exclusion,Natural colony,NA,NA
Florida Keys,Carysfort Reef,CF3,Florida Keys.Carysfort Reef.CF3,Florida Keys.Carysfort Reef.CF3.2005,25.22289,-80.20956,2005,11,0.9090909090909091,2121.6,Acute baseline-exclusion,Natural colony,10,0.4
Florida Keys,Carysfort Reef,CF3,Florida Keys.Carysfort Reef.CF3,Florida Keys.Carysfort Reef.CF3.2006,25.22289,-80.20956,2006,10,1,937.5,Acute baseline-exclusion,Natural colony,8,0.5
Florida Keys,Carysfort Reef,CF3,Florida Keys.Carysfort Reef.CF3,Florida Keys.Carysfort Reef.CF3.2007,25.22289,-80.20956,2007,10,0.8,695.75,Context-only pressure,Natural colony,8,0.875
Florida Keys,Carysfort Reef,CF3,Florida Keys.Carysfort Reef.CF3,Florida Keys.Carysfort Reef.CF3.2008,25.22289,-80.20956,2008,8,0.875,5670,Context-only pressure,Natural colony,8,0.875
Florida Keys,Carysfort Reef,CF3,Florida Keys.Carysfort Reef.CF3,Florida Keys.Carysfort Reef.CF3.2009,25.22289,-80.20956,2009,5,0.8,19305,Acute baseline-exclusion,Natural colony,5,0.6
Florida Keys,Carysfort Reef,CF3,Florida Keys.Carysfort Reef.CF3,Florida Keys.Carysfort Reef.CF3.2010,25.22289,-80.20956,2010,4,1,20383.5,Acute baseline-exclusion,Natural colony,4,0.25
Florida Keys,Carysfort Reef,CF3,Florida Keys.Carysfort Reef.CF3,Florida Keys.Carysfort Reef.CF3.2011,25.22289,-80.20956,2011,6,1,16999.75,Context-only pressure,Natural colony,6,0.5
