region_group,year,acute_exclusion_events,context_pressure_events,catastrophic_events,event_names
Mexican Caribbean,2013,0,1,0,Sargassum Brown Tides
Mexican Caribbean,2014,0,2,0,Sargassum Brown Tides; 3rd Global Bleaching
Mexican Caribbean,2015,0,2,0,Sargassum Brown Tides; 3rd Global Bleaching
Mexican Caribbean,2016,0,2,0,Sargassum Brown Tides; 3rd Global Bleaching
Mexican Caribbean,2017,0,2,0,Sargassum Brown Tides; 3rd Global Bleaching
Mexican Caribbean,2018,0,2,0,Sargassum Brown Tides; SCTLD Outbreak (Framework)
Mexican Caribbean,2019,0,2,0,Sargassum Brown Tides; SCTLD Outbreak (Framework)
Mexican Caribbean,2020,0,2,0,Sargassum Brown Tides; SCTLD Outbreak (Framework)
Mexican Caribbean,2021,0,2,0,Sargassum Brown Tides; SCTLD Outbreak (Framework)
Mexican Caribbean,2022,1,2,0,Sargassum Brown Tides; SCTLD Outbreak (Framework); Diadema 2nd Die-off
Mexican Caribbean,2023,1,2,1,Sargassum Brown Tides; SCTLD Outbreak (Framework); 2023 Marine Heatwave
Mexican Caribbean,2024,0,2,0,Sargassum Brown Tides; SCTLD Outbreak (Framework)
Navassa,2001,1,1,0,White-Band Disease Epizootic; Diadema Mass Mortality
Navassa,2002,0,0,0,
Navassa,2003,0,0,0,
Navassa,2004,0,0,0,
Navassa,2005,0,0,0,
Navassa,2006,0,0,0,
Navassa,2007,0,0,0,
Navassa,2008,0,0,0,
Navassa,2009,0,0,0,
Navassa,2010,0,0,0,
Navassa,2011,0,1,0,Sargassum Brown Tides
Navassa,2012,0,1,0,Sargassum Brown Tides
Navassa,2013,0,1,0,Sargassum Brown Tides
Navassa,2014,0,2,0,Sargassum Brown Tides; 3rd Global Bleaching
Navassa,2015,0,2,0,Sargassum Brown Tides; 3rd Global Bleaching
Navassa,2016,0,2,0,Sargassum Brown Tides; 3rd Global Bleaching
Navassa,2017,0,2,0,Sargassum Brown Tides; 3rd Global Bleaching
Navassa,2018,0,1,0,Sargassum Brown Tides
Navassa,2019,0,1,0,Sargassum Brown Tides
Navassa,2020,0,1,0,Sargassum Brown Tides
Navassa,2021,0,1,0,Sargassum Brown Tides
Navassa,2022,1,1,0,Sargassum Brown Tides; Diadema 2nd Die-off
Navassa,2023,1,1,1,Sargassum Brown Tides; 2023 Marine Heatwave
Navassa,2024,0,1,0,Sargassum Brown Tides
US Virgin Islands,2001,1,1,0,White-Band Disease Epizootic; Diadema Mass Mortality
US Virgin Islands,2002,0,0,0,
US Virgin Islands,2003,0,0,0,
US Virgin Islands,2004,0,0,0,
US Virgin Islands,2005,1,0,0,2005 Thermal Anomaly
US Virgin Islands,2006,1,0,0,2005 Thermal Anomaly
US Virgin Islands,2007,0,0,0,
US Virgin Islands,2008,0,0,0,
US Virgin Islands,2009,0,0,0,
US Virgin Islands,2010,0,0,0,
US Virgin Islands,2011,0,1,0,Sargassum Brown Tides
US Virgin Islands,2012,0,1,0,Sargassum Brown Tides
US Virgin Islands,2013,0,1,0,Sargassum Brown Tides
US Virgin Islands,2014,0,2,0,Sargassum Brown Tides; 3rd Global Bleaching
US Virgin Islands,2015,0,2,0,Sargassum Brown Tides; 3rd Global Bleaching
US Virgin Islands,2016,0,2,0,Sargassum Brown Tides; 3rd Global Bleaching
US Virgin Islands,2017,1,2,0,Sargassum Brown Tides; 3rd Global Bleaching; Hurricane Irma
US Virgin Islands,2018,0,1,0,Sargassum Brown Tides
US Virgin Islands,2019,0,1,0,Sargassum Brown Tides
US Virgin Islands,2020,0,1,0,Sargassum Brown Tides
US Virgin Islands,2021,0,1,0,Sargassum Brown Tides
US Virgin Islands,2022,1,1,0,Sargassum Brown Tides; Diadema 2nd Die-off
US Virgin Islands,2023,1,1,1,Sargassum Brown Tides; 2023 Marine Heatwave
US Virgin Islands,2024,0,1,0,Sargassum Brown Tides
