study,region,location,latitude,longitude,data_type,metric,value,unit,n,size_class_or_range,time_interval,notes,data_source
highsmith_et_al_1980,Belize,Carrie Bow Cay,16.80,-88.08,field,rubble_bank_fragment_mean_weight,33.7,g,1507,"<10_cm_length","4_months","Mean weight of small rubble bank fragments: 33.7 g (SD=65.9).",ai_extracted
rogers_muller_2012,USVI,Haulover Bay St. John,18.36,-64.68,field,fragment_survival_6mo,0.44,proportion,141,,"6_months","44% of 141 fragments monitored survived for 6 or more months. Fragments followed from Feb 2003 to June 2007.",ai_extracted
rogers_muller_2012,USVI,Haulover Bay St. John,18.36,-64.68,field,fragment_mortality,0.461,proportion,141,,"to_June_2007","46.1% of fragments had died by end of the fragmentation study (June 2007).",ai_extracted
rogers_muller_2012,USVI,Haulover Bay St. John,18.36,-64.68,field,fragment_alive,0.284,proportion,141,,"to_June_2007","28.4% of fragments were still alive at end of fragmentation study (June 2007).",ai_extracted
rogers_muller_2012,USVI,Haulover Bay St. John,18.36,-64.68,field,fragment_fate_unknown,0.255,proportion,141,,"to_June_2007","Fate of the remainder (25.5%) could not be determined.",ai_extracted
rogers_muller_2012,USVI,Haulover Bay St. John,18.36,-64.68,field,fragment_reattachment_rate,0.326,proportion,141,,"to_June_2007","Only 32.6% of fragments reattached to the substrate at some point during the study.",ai_extracted
rogers_muller_2012,USVI,Haulover Bay St. John,18.36,-64.68,field,reattached_fragment_survival_duration,19.2,months,,,"mean_duration","Reattached fragments survived for an average of 19.2 months.",ai_extracted
rogers_muller_2012,USVI,Haulover Bay St. John,18.36,-64.68,field,unattached_fragment_survival_duration,5.4,months,,,"mean_duration","Fragments that did not reattach survived for an average of only 5.4 months.",ai_extracted
rogers_muller_2012,USVI,Haulover Bay St. John,18.36,-64.68,field,unattached_fragment_complete_mortality,0.537,proportion,,,"to_June_2007","Over half (53.7%) of unattached fragments suffered complete mortality (or loss).",ai_extracted
rogers_muller_2012,USVI,Haulover Bay St. John,18.36,-64.68,field,reattached_fragment_complete_mortality,0.304,proportion,,,"to_June_2007","30.4% of reattached fragments suffered complete mortality (or loss).",ai_extracted
rogers_muller_2012,USVI,Haulover Bay St. John,18.36,-64.68,field,fragment_mortality_cause_disease,0.292,proportion,,,"to_June_2007","Of fragment mortality causes: disease 29.2%.",ai_extracted
rogers_muller_2012,USVI,Haulover Bay St. John,18.36,-64.68,field,fragment_mortality_cause_disappearance,0.123,proportion,,,"to_June_2007","Of fragment mortality causes: disappearance 12.3%.",ai_extracted
rogers_muller_2012,USVI,Haulover Bay St. John,18.36,-64.68,field,fragment_mortality_cause_unknown,0.646,proportion,,,"to_June_2007","Of fragment mortality causes: unknown causes 64.6%.",ai_extracted
rogers_muller_2012,USVI,Haulover Bay St. John,18.36,-64.68,field,fragment_mortality_cause_bleaching,0.015,proportion,,,"to_June_2007","Of fragment mortality causes: bleaching 1.5%.",ai_extracted
rogers_muller_2012,USVI,Haulover Bay St. John,18.36,-64.68,field,colony_mortality_7yr,0.362,proportion,69,,"7_years_2003-2009","25 of 69 colonies (36.2%) died over the 7-year study (Jan 2003 - Dec 2009).",ai_extracted
rogers_muller_2012,USVI,Haulover Bay St. John,18.36,-64.68,field,population_increase,213,count,,"17627_m2_reef_area","7_years_2003-2010","Total number of colonies in reef area increased from 69 (2003) to 213 (2010). Approx 139 were fragments/reattached fragments; 30 were sexual recruits.",ai_extracted
rogers_muller_2012,USVI,Haulover Bay St. John,18.36,-64.68,field,colony_disease_prevalence,0.899,proportion,69,,"7_years_2003-2009","89.9% of colonies exhibited disease during the study. White pox (87%), white band (13%), unknown (9%).",ai_extracted
