title,authors,year,journal,wosId
"An Update of Knowledge of the Bacterial Assemblages Associated with the Mexican Caribbean Corals Acropora palmata, Orbicella faveolata, and Porites porites","Hernández-Zulueta, J; Díaz-Pérez, L; Rodríguez-Zaragoza, FA",2023,DIVERSITY-BASEL,WOS:001079802100001
How old are you? Genet age estimates in a clonal animal,"Devlin-Durante, MK; Miller, MW; Baums, IB",2016,MOLECULAR ECOLOGY,WOS:000387659300004
PLEISTOCENE PERSPECTIVES ON CORAL-REEF COMMUNITY STRUCTURE,"JACKSON, JBC",1992,AMERICAN ZOOLOGIST,WOS:A1992KV05500010
Hurricanes cause population expansion of the branching coral Acropora palmata (Scleractinia): Wound healing and growth patterns of asexual recruits,"Fong, P; Lirman, D",1995,MARINE ECOLOGY-PUBBLICAZIONI DELLA STAZIONE ZOOLOGICA DI NAPOLI I,WOS:A1995UQ80400004
Long-term maintenance of a heterologous symbiont association in Acropora palmata on natural reefs,"Elder, H; Million, WC; Kenkel, CD",2023,ISME JOURNAL,WOS:000898179500001
Interaction between the thinly encrusting sponge Clathria venosa and the branched coral Acropora palmata,"Pineda-Munive, EM; García-Urueña, R",2022,AQUATIC ECOLOGY,WOS:000865885900001
Larval longevity and competency patterns of Caribbean reef-building corals,"Miller, MW; Bright, AJ; Williams, DE",2020,PEERJ,WOS:000558591500010
"Comment on ""Younger Dryas sea level and meltwater pulse 1B recorded in Barbados reefal crest coral Acropora palmata"" by N. A. Abdul et al. Reply","Mortlock, RA; Abdul, NA; Fairbanks, RG",2016,PALEOCEANOGRAPHY,WOS:000393173000007
Coral larvae settle at a higher frequency on red surfaces,"Mason, B; Beard, M; Miller, MW",2011,CORAL REEFS,WOS:000293536600015
"OBSERVATIONS ON ZOOXANTHELLAE EXPULSION AT MIDDLE SAMBO REEF, FLORIDA KEYS","JAAP, WC",1979,BULLETIN OF MARINE SCIENCE,WOS:A1979HJ47300013
Evaluation of Substrate Properties for Settlement of Caribbean Staghorn Coral Acropora cervicornis Larvae in a Land-Based System,"Patterson, JT; Flint, M; Watson, CA",2016,NORTH AMERICAN JOURNAL OF AQUACULTURE,WOS:000385632600008
Removal of corallivorous snails as a proactive tool for the conservation of acroporid corals,"Williams, DE; Miller, M; Cameron, CM",2014,PEERJ,WOS:000347627200001
Assessment of Acropora palmata in the Mesoamerican Reef System,"Rodríguez-Martínez, RE; Banaszak, AT; Alvarez-Filip, L",2014,PLOS ONE,WOS:000335505000064
Preserving and Using Germplasm and Dissociated Embryonic Cells for Conserving Caribbean and Pacific Coral,"Hagedorn, M; Carter, V; Wildt, D",2012,PLOS ONE,WOS:000303062000044
Inheritance of somatic mutations by animal offspring,"Kuntz, KLV; Kitchen, SA; Baums, IB",2022,SCIENCE ADVANCES,WOS:000879233400004
CHEMISTRY OF COELENTERATES - STEROL COMPOSITION OF SOME PREDATOR-PREY PAIRS ON CORAL REEFS,"STEUDLER, PA; SCHMITZ, FJ; CIERESZKO, LS",1977,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,WOS:A1977DB57500008
Members of native coral microbiota inhibit glycosidases and thwart colonization of coral mucus by an opportunistic pathogen,"Krediet, CJ; Ritchie, KB; Teplitski, M",2013,ISME JOURNAL,WOS:000317963300008
"Holocene reef building on eastern St. Croix, US Virgin Islands: Lang Bank revisited","Hubbard, DK; Gill, IP; Burke, RB",2013,CORAL REEFS,WOS:000322874500006
The host transcriptome remains unaltered during the establishment of coral-algal symbioses,"Voolstra, CR; Schwarz, JA; Medina, M",2009,MOLECULAR ECOLOGY,WOS:000265189400004
"Changes in coral reef communities among the Florida Keys, 1996-2003","Somerfield, PJ; Jaap, WC; Yanev, G",1996,CORAL REEFS,WOS:000260616400026
Geographic distances and ocean currents influence Caribbean Acropora palmata population connectivity in the Lesser Antilles,"Japaud, A; Bouchon, C; Fauvelot, C",2019,CONSERVATION GENETICS,WOS:000467689100004
"Phototrophic microendoliths bloom during coral ""white syndrome""","Fine, M; Roff, G; Hoegh-Guldberg, O",2006,CORAL REEFS,WOS:000242058400011
"Growth and survival of unattached Madracis mirabilis fragments transplanted to different reef sites, and the implication for reef rehabilitation","Nagelkerken, I; Bouma, S; Bak, RPM",2000,BULLETIN OF MARINE SCIENCE,WOS:000085998300016
Modeling water surface reflectance signatures and in-water irradiance profiles in shallow tropical waters influenced by bottom reflectance,"Bostater, CR",1997,,WOS:A1997BJ48Y00259
White Band Disease (type I) of Endangered Caribbean Acroporid Corals is Caused by Pathogenic Bacteria,"Kline, DI; Vollmer, SV",2011,SCIENTIFIC REPORTS,WOS:000296046200007
Host population genetic structure and zooxanthellae diversity of two reef-building coral species along the Florida Reef Tract and wider Caribbean,"Baums, IB; Johnson, ME; Miller, MW",2010,CORAL REEFS,WOS:000283940700002
Lesion recovery of two scleractinian corals under low pH conditions: Implications for restoration efforts,"Hall, ER; DeGroot, BC; Fine, M",2015,MARINE POLLUTION BULLETIN,WOS:000366771400048
Population dynamics and genotypic richness of threatened Acropora species and their hybrid in the US Virgin Islands,"Nylander-Asplin, HF; Hill, RL; Fogarty, ND",2021,CORAL REEFS,WOS:000642066600001
EFFECTS OF CHRONIC OIL POLLUTION ON A CARIBBEAN CORAL-REEF,"BAK, RPM",1987,MARINE POLLUTION BULLETIN,WOS:A1987K887700006
"Comment on ""Younger Dryas sea level and meltwater pulse 1B recorded in Barbados reefal crest coral Acropora palmata"" by N. A. Abdul et al","Bard, E; Hamelin, B; Camoin, G",2016,PALEOCEANOGRAPHY,WOS:000393173000006
"Does reef crest zone selection influence Acropora palmata (Lamarck, 1816) fragment survival and growth?","Romero, AR; González-Díaz, P; Banaszak, AT",2025,PEERJ,WOS:001626828100001
"Probabilistic investigation of global mean sea level during MIS 5a based on observations from Cave Hill, Barbados","Tawil-Morsink, K; Austermann, J; Raymo, ME",2022,QUATERNARY SCIENCE REVIEWS,WOS:000886090700004
Enhancing survival of ex-situ reared sexual recruits of Acropora palmata for reef rehabilitation,"Schutter, M; ter Hofstede, R; Osinga, R",2023,ECOLOGICAL ENGINEERING,WOS:001044520100001
SHORT-TERM ECOLOGICAL CONSEQUENCES OF A MAJOR OIL-SPILL ON PANAMANIAN SUBTIDAL REEF CORALS,"GUZMAN, HM; JACKSON, JBC; WEIL, E",1991,CORAL REEFS,WOS:A1991FZ19200001
Effects of multiple perturbations on the survivorship of fragments of three coral species,"Dizon, RM; Yap, HT",2006,MARINE POLLUTION BULLETIN,WOS:000240693400020
Caribbean corals house shared and host-specific microbial symbionts over time and space,"Chu, ND; Vollmer, SV",2016,ENVIRONMENTAL MICROBIOLOGY REPORTS,WOS:000379938900009
Pathology of tissue loss (white syndrome) in Acropora sp corals from the Central Pacific,"Work, TM; Aeby, GS",2011,JOURNAL OF INVERTEBRATE PATHOLOGY,WOS:000290922100005
Friend or foe? A review of the mechanisms that drive Serratia towards diverse lifestyles,"Petersen, LM; Tisa, LS",2013,CANADIAN JOURNAL OF MICROBIOLOGY,WOS:000324235200006
Evolutionary History Drives Biogeographic Patterns of Coral Reef Resilience,"Roff, G",2021,BIOSCIENCE,WOS:000609888900007
Pleistocene facies of Belize barrier and atoll reefs,"Gischler, E",2007,FACIES,WOS:000243905600002
Wild and nursery-raised corals: comparative physiology of two framework coral species,"Gantt, SE; Keister, EF; Kemp, DW",2023,CORAL REEFS,WOS:000907098700002
"LIGHT-ABSORPTION AND UTILIZATION AMONG HERMATYPIC CORALS - A STUDY IN JAMAICA, WEST-INDIES","WYMAN, KD; DUBINSKY, Z; FALKOWSKI, PG",1987,MARINE BIOLOGY,WOS:A1987K619700015
Secondary Microplastics Disrupt Early Coral Development: Impacts on Brooding and Broadcast-Spawning Species,"García-Galindo, C; Gómez-Lemos, LA; García-Urueña, R",2025,DIVERSITY-BASEL,WOS:001535760500001
Do reproduction and regeneration in damaged corals compete for energy allocation?,"Rinkevich, B",1996,MARINE ECOLOGY PROGRESS SERIES,WOS:A1996VW68200028
Ecological condition of coral reef assemblages in the Cuban Archipelago,"Aragon, HC; Armenteros, M; Menendez, PMA",2019,MARINE BIOLOGY RESEARCH,WOS:000468240800006
Coral populations in a rapidly changing environment,"van Woesik, R; Jordán-Garza, AG",2011,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,WOS:000298218400003
Ecological solutions to reef degradation: optimizing coral reef restoration in the Caribbean and Western Atlantic,"Lirman, D; Schopmeyer, S",2016,PEERJ,WOS:000385821100010
The microbial profile of a tissue necrosis affecting the Atlantic invasive coral Tubastraea tagusensis,"Zanotti, AA; Gregoracci, GB; Kitahara, MV",2021,SCIENTIFIC REPORTS,WOS:000658740400014
"Coral disease outbreak:: pattern, prevalence and transmission in Acropora cervicornis","Williams, DE; Miller, MW",2005,MARINE ECOLOGY PROGRESS SERIES,WOS:000233569700010
"DISTRIBUTION OF SUBMARINE CEMENTS IN A MODERN CARIBBEAN FRINGING REEF, GALETA POINT, PANAMA","MACINTYRE, IG",1977,,WOS:A1977DM57100001
EFFECTS OF AN UNUSUAL HIGH FREQUENCY PERIOD OF HURRICANES ON BENT OF CORAL REEFS,"Alcolado, PM; Hernández-Muñoz, D; Hidalgo, G",2009,REVMAR-REVISTA CIENCIAS MARINAS Y COSTERAS,WOS:000216652400004
"Paleoecology of mangroves along the Sibun River, Belize","Monacci, NM; Meier-Grünhagen, U; Wooller, MJ",2011,QUATERNARY RESEARCH,WOS:000294532700006
AMINO-ACIDS IN FOSSIL CORALS - RACEMIZATION (EPIMERIZATION) REACTIONS AND THEIR IMPLICATIONS FOR DIAGENETIC MODELS AND GEOCHRONOLOGICAL STUDIES,"WEHMILLER, JF; HARE, PE; KUJALA, GA",1976,GEOCHIMICA ET COSMOCHIMICA ACTA,WOS:A1976BU51100006
Restoration of coral populations in light of genetic diversity estimates,"Shearer, TL; Porto, I; Zubillaga, AL",2009,CORAL REEFS,WOS:000268323800020
Microbial Community Shifts Associated With the Ongoing Stony Coral Tissue Loss Disease Outbreak on the Florida Reef Tract,"Meyer, JL; Castellanos-Gell, J; Paul, VJ",2019,FRONTIERS IN MICROBIOLOGY,WOS:000487579900001
Acclimatization to high-variance habitats does not enhance physiological tolerance of two key Caribbean corals to future temperature and pH,"Camp, EF; Smith, DJ; Suggett, DJ",2016,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,WOS:000378318300013
Coral Restoration Effectiveness: Multiregional Snapshots of the Long-Term Responses of Coral Assemblages to Restoration,"Hein, MY; Beeden, R; Willis, BL",2020,DIVERSITY-BASEL,WOS:000533906300027
THE INCIDENCE OF HURRICANES ON THE NORTH COAST OF JAMAICA SINCE 1870 - ARE THE CLASSIC REEF DESCRIPTIONS ATYPICAL,"WOODLEY, JD",1992,HYDROBIOLOGIA,WOS:A1992KJ25300015
"Host use of the elkhorn coral crab Domecia acanthophora (Brachyura : Domeciidae), with a phylogeny of the genus","Van der Meij, SET; Bravo, H; Dromard, CR",2022,CAHIERS DE BIOLOGIE MARINE,WOS:000865443900005
Sewage pollution: mitigation is key for coral reef stewardship,"Wear, SL; Thurber, RV",2015,YEAR IN ECOLOGY AND CONSERVATION BIOLOGY,WOS:000369996800002
"Distribution and structure of the southernmost Caribbean coral reefs:: Golfo de Uraba, Colombia","Díaz, JM; Díaz-Pulido, G; Sánchez, JA",2000,SCIENTIA MARINA,WOS:000089282700009
Interactions in the canopy among Caribbean reef octocorals,"Gambrel, B; Lasker, HR",2016,MARINE ECOLOGY PROGRESS SERIES,WOS:000374240800007
Millennia-old coral holobiont DNA provides insight into future adaptive trajectories,"Scott, CB; Cárdenas, A; Matz, M",2022,MOLECULAR ECOLOGY,WOS:000841659700001
Reef -scale trends in Florida Acropora spp. abundance and the effects of population enhancement,"Miller, MW; Kerr, K; Williams, DE",2016,PEERJ,WOS:000385572500003
Climate-modulated range expansion of reef-building coral communities off southeast Florida during the late Holocene,"Modys, AB; Oleinik, A; Precht, WF",2022,FRONTIERS IN MARINE SCIENCE,WOS:000905553400001
"Disease Prevalence and Snail Predation Associated with Swell-Generated Damage on the Threatened Coral, Acropora palmata (Lamarck)","Bright, AJ; Rogers, CS; Smith, TB",2016,FRONTIERS IN MARINE SCIENCE,WOS:000457358000076
A quantitative assessment of the status of benthic communities on US Atlantic coral reefs using a novel standardized approach,"Viehman, TS; Groves, SH; Towle, EK",2024,BULLETIN OF MARINE SCIENCE,WOS:001247148000009
Changes in Caribbean coral disease prevalence after the 2005 bleaching event,"Cróquer, A; Weil, E",2005,DISEASES OF AQUATIC ORGANISMS,WOS:000272675600004
Fire coral clones demonstrate phenotypic plasticity among reef habitats,"Dubé, CE; Boissin, E; Planes, S",2017,MOLECULAR ECOLOGY,WOS:000406361200003
Caribbean acroporid coral hybrids are viable across life history stages,"Fogarty, ND",2012,MARINE ECOLOGY PROGRESS SERIES,WOS:000301323600011
Genetic Signature of Resistance to White Band Disease in the Caribbean Staghorn Coral Acropora cervicornis,"Libro, S; Vollmer, SV",2016,PLOS ONE,WOS:000368528400055
"Settling into an Increasingly Hostile World: The Rapidly Closing ""Recruitment Window"" for Corals","Arnold, SN; Steneck, RS",2011,PLOS ONE,WOS:000298369100076
Reduced diversity and stability of coral-associated bacterial communities and suppressed immune function precedes disease onset in corals,"Pollock, FJ; Lamb, JB; Bourne, DG",2019,ROYAL SOCIETY OPEN SCIENCE,WOS:000473797400034
Growth modelling indicates hurricanes and severe storms are linked to low coral recruitment in the Caribbean,"Crabbe, MJC; Martinez, E; Guy, J",2008,MARINE ENVIRONMENTAL RESEARCH,WOS:000254785800008
MIGRATING HAEMULID FISHES AS A SOURCE OF NUTRIENTS AND ORGANIC-MATTER ON CORAL REEFS,"MEYER, JL; SCHULTZ, ET",1985,LIMNOLOGY AND OCEANOGRAPHY,WOS:A1985ACJ5400012
Genomic Variants Among Threatened Acropora Corals,"Kitchen, SA; Ratan, A; Baums, IB",2019,G3-GENES GENOMES GENETICS,WOS:000467271400032
Identification of Candidate Coral Pathogens on White Band Disease-Infected Staghorn Coral,"Gignoux-Wolfsohn, SA; Vollmer, SV",2015,PLOS ONE,WOS:000358942700043
Histopathology of crustose coralline algae affected by white band and white patch diseases,"Quéré, G; Meistertzheim, AL; Nugues, MM",2015,PEERJ,WOS:000357321300002
Effect of Various Local Anthropogenic Impacts on the Diversity of Coral Mucus-Associated Bacterial Communities,"Hussein, EI; Juhmani, ASF; Malkawi, H",2022,JOURNAL OF MARINE SCIENCE AND ENGINEERING,WOS:000831683800001
Adding insult to injury: Ship groundings are associated with coral disease in a pristine reef,"Raymundo, LJ; Licuanan, WL; Kerr, AM",2018,PLOS ONE,WOS:000444683000044
Assimilating the ICE-6G_C Reconstruction of the Latest Quaternary Ice Age Cycle Into Numerical Simulations of the Laurentide and Fennoscandian Ice Sheets,"Stuhne, GR; Peltier, WR",2017,JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE,WOS:000419994700003
"Geomorphology of the southeast Florida continental reef tract (Miami-Dade, Broward, and Palm Beach Counties, USA)","Banks, KW; Riegl, BM; Dodge, RE",2007,CORAL REEFS,WOS:000248832400024
Genomic variation of an endosymbiotic dinoflagellate (Symbiodinium 'fitti') among closely related coral hosts,"Reich, HG; Kitchen, SA; Baums, IB",2021,MOLECULAR ECOLOGY,WOS:000655652900001
Dynamics and patterns of algal colonization on mechanically damaged and dead colonies of the coral Porites lutea,"Titlyanov, EA; Titlyanova, TV; Chapman, DJ",2008,BOTANICA MARINA,WOS:000259002600006
"MARINE OXYGEN ISOTOPE RECORD IN PLEISTOCENE CORAL, BARBADOS, WEST-INDIES","FAIRBANKS, RG; MATTHEWS, RK",1978,QUATERNARY RESEARCH,WOS:A1978FW00100004
"Coral Microbiomes and Biofilms: Ecological Features, Response to Microbial Infections, and Conservation Strategies","Ravichandran, S; Thangarasu, D; Periasamy, S",2025,MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE,WOS:001562415600010
