title,authors,year,journal,doi,wos_id
"Effects of temperature, nutrients, organic matter and coral mucus on the survival of the coral pathogen, Serratia marcescens PDL100","Looney, EE; Sutherland, KP; Lipp, EK","2010","ENVIRONMENTAL MICROBIOLOGY","","WOS:000281556900008"
"Acute heat stress and the extirpation of a threatened coral species from a remote, subtropical reef system","Thompson, AM; Stathakopoulos, A; Kuffner, IB","2025","CORAL REEFS","","WOS:001466189800001"
"Climate flickers and range shifts of reef corals","Precht, WF; Aronson, RB","2004","FRONTIERS IN ECOLOGY AND THE ENVIRONMENT","","WOS:000223960900016"
"Widespread loss of Caribbean acroporid corals was underway before coral bleaching and disease outbreaks","Cramer, KL; Jackson, JBC; Pandolfi, JM","2020","SCIENCE ADVANCES","","WOS:000530628100002"
"Success of restoration strategies in preventing extirpation of 2 critically endangered coral species","Muller, EM; Ladd, MC; Miller, MW","2025","CONSERVATION BIOLOGY","","WOS:001621106100001"
"Ocean acidification compromises recruitment success of the threatened Caribbean coral Acropora palmata","Albright, R; Mason, B; Langdon, C","2010","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","","WOS:000284529000048"
"Coral reef diseases in the wider Caribbean","Weil, E","2004","","","WOS:000222374300002"
"Differential larval settlement responses of Porites astreoides and Acropora palmata in the presence of the green alga Halimeda opuntia","Olsen, K; Sneed, JM; Paul, VJ","2016","CORAL REEFS","","WOS:000376244600015"
"Prevalence of Diseases in Scleractinian Corals of the Southern Caribbean of Costa Rica","Esquivel, SVR; Quesada-Perez, F; Alvarado, JJ","2025","CARIBBEAN JOURNAL OF SCIENCE","","WOS:001533647700015"
"Coral Reef Diseases in the Atlantic-Caribbean","Weil, E; Rogers, CS","2011","","","WOS:000285982500027"
"Storm-generated coral fragments - A viable source of transplants for reef rehabilitation","Garrison, V; Ward, G","2008","BIOLOGICAL CONSERVATION","","WOS:000261574900017"
"Are infectious diseases really killing corals? Alternative interpretations of the experimental and ecological data","Lesser, MP; Bythell, JC; Hoegh-Guldberg, O","2007","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY","","WOS:000247155600005"
"Is Acropora palmata recovering? A case study in Los Rogues National Park, Venezuela","Croquer, A; Cavada-Blanco, F; Sweet, M","2016","PEERJ","","WOS:000369407200001"
"Measuring, Interpreting, and Responding to Changes in Coral Reefs: A Challenge for Biologists, Geologists, and Managers","Rogers, CS; Miller, J","2016","","","WOS:000388077200013"
"RECOLONIZATION PATTERNS OF ACROPORA-PALMATA IN A MARGINAL ENVIRONMENT","JORDANDAHLGREN, E","1992","BULLETIN OF MARINE SCIENCE","","WOS:A1992JQ54200010"
"Bleaching increases likelihood of disease on Acropora palmata (Lamarck) in Hawksnest Bay, St John, US Virgin Islands","Muller, EM; Rogers, CS; van Woesik, R","2008","CORAL REEFS","","WOS:000252767200025"
"Heterotrophy, microbiome, and location effects on restoration efficacy of the threatened coral Acropora palmata","Chapron, L; Kuffner, IB; Grottoli, AG","2023","COMMUNICATIONS EARTH & ENVIRONMENT","","WOS:001031307500001"
"Genotype and symbiont composition rather than environment influence susceptibility to stony coral tissue loss disease in coral restoration broodstock","Eaton, KR; Banister, RB; Muller, EM","2025","SCIENTIFIC REPORTS","","WOS:001645834900001"
"Post-settlement survivorship in two Caribbean broadcasting corals","Miller, MW","2014","CORAL REEFS","","WOS:000344628500017"
"Revised paleoenvironmental analysis of the Holocene portion of the Barbados sea-level record: Cobbler's Reef revisited","Toscano, MA","2016","CORAL REEFS","","WOS:000376244600027"
"CO2 enrichment and reduced seawater pH had no effect on the embryonic development of Acropora palmata (Anthozoa, Scleractinia).","Medina-Rosas, P; Szmant, AM; Whitehead, RF","2013","INVERTEBRATE REPRODUCTION & DEVELOPMENT","","WOS:000319715200007"
"Structurally complex habitats provided by Acropora palmata influence ecosystem processes on a reef in the Florida Keys National Marine Sanctuary","Lemoine, NP; Valentine, JF","2012","CORAL REEFS","","WOS:000307287400018"
"Location-Specific Responses to Thermal Stress in Larvae of the Reef-Building Coral Montastraea faveolata","Polato, NR; Voolstra, CR; Baums, IB","2010","PLOS ONE","","WOS:000279135400010"
"Variation in the transcriptional response of threatened coral larvae to elevated temperatures","Polato, NR; Altman, NS; Baums, IB","2013","MOLECULAR ECOLOGY","","WOS:000315414700014"
"Colony growth of corals transplanted for restoration depends on their site of origin and environmental factors","Forrester, GE; Taylor, K; Maynard, A","2013","MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE","","WOS:000319420400004"
"VARIATION IN ACROPORA PALMATA BLEACHING ACROSS BENTHIC ZONES AT BUCK ISLAND REEF NATIONAL MONUMENT (ST. CROIX, USVI) DURING THE 2005 THERMAL STRESS EVENT","Lundgren, I; Hillis-Starr, Z","2008","BULLETIN OF MARINE SCIENCE","","WOS:000260894200001"
"White-band disease and the changing face of Caribbean coral reefs","Aronson, RB; Precht, WF","2001","HYDROBIOLOGIA","","WOS:000173249100003"
"Larval dispersal patterns and connectivity of Acropora on Florida's Coral Reef and its implications for restoration","King, S; Saint-Amand, A; Figueiredo, J","2023","FRONTIERS IN MARINE SCIENCE","","WOS:000927763600001"
"The sea urchin Diadema antillarum facilitates recruitment of the Critically Endangered Caribbean coral species Acropora palmata","Latijnhouwers, KRW; van Aalst, M; Chamberland, VF","2024","MARINE ECOLOGY PROGRESS SERIES","","WOS:001338506600007"
"Note on density and predation rate of Coralliophila abbreviata and Coralliophila caribaea on juvenile colonies of Acropora palmata in a deteriorated coral reef of Cayo Sombrero, Morrocoy National Park, Venezuela","del Mónaco, C; Noriega, N; Narciso, S","2011","LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH","","WOS:000288178700015"
"Regulation of microbial populations by coral surface mucus and mucus-associated bacteria","Ritchie, KB","2006","MARINE ECOLOGY PROGRESS SERIES","","WOS:000241515900001"
"New insights into the dynamics between reef corals and their associated dinoflagellate endosymbionts from population genetic studies","Baums, IB; Devlin-Durante, MK; Lajeunesse, TC","2014","MOLECULAR ECOLOGY","","WOS:000341176200005"
"Current status of coral takeover by an encrusting excavating sponge in a Caribbean reef","Marulanda-Gómez, A; López-Victoria, M; Zea, S","2017","MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE","","WOS:000394580200006"
"EVALUATING CAUSES OF TRANSPLANT STRESS IN FRAGMENTS OF ACROPORA PALMATA USED FOR CORAL REEF RESTORATION","Forrester, GE; Maynard, A; Taylor, K","2012","BULLETIN OF MARINE SCIENCE","","WOS:000310106200017"
"Sediment associated with algal turfs inhibits the settlement of two endangered coral species","Spear, KE; Duran, A; Burkepile, DE","2019","MARINE POLLUTION BULLETIN","","WOS:000472686700022"
"Survival, rarity, and extinction in tropical stony corals","Wilson, B; Edmunds, PJ","2026","CONSERVATION BIOLOGY","","WOS:001649935000001"
"Assisted gene flow using cryopreserved sperm in critically endangered coral","Hagedorn, M; Page, CA; Marhaver, KL","2021","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","","WOS:000702151600003"
"Lesion regeneration in the branching coral Acropora palmata:: effects of colonization, colony size, lesion size, and lesion shape","Lirman, D","2000","MARINE ECOLOGY PROGRESS SERIES","","WOS:000087620800015"
"Transplantation of storm-generated coral fragments to enhance Caribbean coral reefs: A successful method but not a solution","Garrison, VH; Ward, G","2012","REVISTA DE BIOLOGIA TROPICAL","","WOS:000322431600006"
"Storm-induced coral rubble deposition: Pleistocene records of natural reef disturbance and community response.","Perry, CT","2001","CORAL REEFS","","WOS:000171263100012"
"A simulation model of the population dynamics of the branching coral Acropora palmata -: Effects of storm intensity and frequency","Lirman, D","2003","ECOLOGICAL MODELLING","","WOS:000181657400003"
"Stabilization of Fragments to Enhance Asexual Recruitment in Acropora Palmata, a Threatened Caribbean Coral","Williams, DE; Miller, MW","2010","RESTORATION ECOLOGY","","WOS:000284171800022"
"Assisted fertilization of threatened Staghorn Coral to complement the restoration of nurseries in Southeastern Dominican Republic","Calle-Triviño, J; Cortés-Useche, C; Arias-González, JE","2018","REGIONAL STUDIES IN MARINE SCIENCE","","WOS:000427936600014"
"Clonal structure and variable fertilization success in Florida Keys broadcast-spawning corals","Miller, MW; Baums, IB; Woodley, CM","2018","CORAL REEFS","","WOS:000423830500023"
"Acropora cervicornis and Acropora palmata cultured on a low maintenance line nursery design in The Bahamas","Maurer, L; Puishys, L; Stamper, MA","2022","PLOS ONE","","WOS:000794129600004"
"Growth and survival of unattached Madracis mirabilis fragments transplanted to different reef sites, and the implication for reef rehabilitation","Nagelkerken, I; Bouma, S; Bak, RPM","2000","BULLETIN OF MARINE SCIENCE","","WOS:000085998300016"
"The impact of macroalgae and cyanobacteria on larval survival and settlement of the scleractinian corals Acropora palmata, A. cervicornis and Pseudodiploria strigosa","Ritson-Williams, R; Arnold, SN; Paul, VJ","2020","MARINE BIOLOGY","","WOS:000520974400003"
"Long-term survival, growth, and reproduction of Acropora palmata sexual recruits outplanted onto Mexican Caribbean reefs","Quiroz, SM; Beltrán-Torres, AU; Banaszak, AT","2023","PEERJ","","WOS:001177955600001"
"PLEISTOCENE PERSPECTIVES ON CORAL-REEF COMMUNITY STRUCTURE","JACKSON, JBC","1992","AMERICAN ZOOLOGIST","","WOS:A1992KV05500010"
"Environmental predictors for the restoration of a critically endangered coral, Acropora palmata, along the Florida reef tract","Banister, RB; Viehman, TS; van Woesik, R","2024","PLOS ONE","","WOS:001136266700132"
"Safety in Numbers? Abundance May Not Safeguard Corals from Increasing Carbon Dioxide","Birkeland, C; Miller, MW; Brainard, RE","2013","BIOSCIENCE","","WOS:000328720300011"
"Genotypic variation in disease susceptibility among cultured stocks of elkhorn and staghorn corals","Miller, MW; Colburn, PJ; Peters, EC","2019","PEERJ","","WOS:000463695300007"
"AGE-RELATED DETERIORATION OF A PHYSIOLOGICAL-FUNCTION IN THE BRANCHING CORAL ACROPORA-PALMATA","MEESTERS, EH; BAK, RPM","1995","MARINE ECOLOGY PROGRESS SERIES","","WOS:A1995RE33000017"
"Patterns of larval settlement preferences and post-settlement survival for seven Caribbean corals","Ritson-Williams, R; Arnold, SN; Paul, VJ","2016","MARINE ECOLOGY PROGRESS SERIES","","WOS:000376375000009"
"Effects of multiple perturbations on the survivorship of fragments of three coral species","Dizon, RM; Yap, HT","2006","MARINE POLLUTION BULLETIN","","WOS:000240693400020"
"The culture, transplantation and storage of Montastraea faveolata, Acropora cervicornis and Acropora palmata:: What we have learned so far","Becker, LC; Mueller, E","2001","BULLETIN OF MARINE SCIENCE","","WOS:000172609000049"
"Physiological Differences in Bleaching Response of the Coral Porites astreoides Along the Florida Keys Reef Tract During High-Temperature Stress","Lenz, EA; Bartlett, LA; Kuffner, IB","2021","FRONTIERS IN MARINE SCIENCE","","WOS:000669347800001"
"Discernment of sexual recruits is not critical for assessing population recovery of Acropora palmata","Grober-Dunsmore, R; Bonito, V; Frazer, TK","2007","MARINE ECOLOGY PROGRESS SERIES","","WOS:000246486800021"
"Leachate effects of pelagic Sargassum spp. on larval swimming behavior of the coral Acropora palmata","Antonio-Martínez, F; Henaut, Y; Espinoza-Avalos, J","2020","SCIENTIFIC REPORTS","","WOS:000560289400031"
"White Syndrome-Affected Corals Have a Distinct Microbiome at Disease Lesion Fronts","Pollock, FJ; Wada, N; Bourne, DG","2017","APPLIED AND ENVIRONMENTAL MICROBIOLOGY","","WOS:000393479000018"
"How old are you? Genet age estimates in a clonal animal","Devlin-Durante, MK; Miller, MW; Baums, IB","2016","MOLECULAR ECOLOGY","","WOS:000387659300004"
"Discovery of Late Holocene-aged Acropora palmata reefs in Dry Tortugas National Park, Florida, USA: The past as a key to the future?","Stathakopoulos, A; Toth, LT; Kuffner, IB","2025","DEPOSITIONAL RECORD","","WOS:001472230000001"
"Extensive coral mortality in the US Virgin Islands in 2005/2006: A review of the evidence for synergy among thermal stress, coral bleaching and disease","Rogers, CS; Muller, E; Miller, J","2009","CARIBBEAN JOURNAL OF SCIENCE","","WOS:000207836900007"
"QUANTIFICATION OF LOSS AND CHANGE IN FLORIDIAN REEF CORAL POPULATIONS","PORTER, JW; MEIER, OW","1992","AMERICAN ZOOLOGIST","","WOS:A1992KV05500002"
"Tumor formation on the coral Montipora informis","Yamashiro, H; Yamamoto, M; van Woesik, R","2000","DISEASES OF AQUATIC ORGANISMS","","WOS:000089047200006"
"Larval longevity and competency patterns of Caribbean reef-building corals","Miller, MW; Bright, AJ; Williams, DE","2020","PEERJ","","WOS:000558591500010"
"Biomimetic chemical microhabitats enhance coral settlement","Kundu, S; Potenti, S; Wangpraseurt, D","2025","TRENDS IN BIOTECHNOLOGY","","WOS:001570766600015"
"Low-tech coral reef restoration methods modeled after natural fragmentation processes","Bowden-Kerby, A","2001","BULLETIN OF MARINE SCIENCE","","WOS:000172609000051"
"No two reefs are created equal: fine-scale population structure in the threatened coral species Acropora palmata and A. cervicornis","Reyes, JG; Schizas, NV","2010","AQUATIC BIOLOGY","","WOS:000280768200008"
"Heat-driven functional extinction of Caribbean Acropora corals from Florida's Coral Reef","Manzello, DP; Cunning, R; Williamson, OM","2025","SCIENCE","","WOS:001602616000019"
"Attributing mortality among drivers of population decline in Acropora palmata in the Florida Keys (USA)","Williams, DE; Miller, MW","2012","CORAL REEFS","","WOS:000303450100007"
"Cycloprodigiosin: A multispecies settlement cue for scleractinian coral larvae","Fiegel, LJ; Nietzer, S; Kellermann, MY","2025","SCIENTIFIC REPORTS","","WOS:001537442500011"
"Larval settlement preferences and post-settlement survival of the threatened Caribbean corals Acropora palmata and A. cervicornis","Ritson-Williams, R; Paul, VJ; Steneck, RS","2010","CORAL REEFS","","WOS:000274294200010"
"GIS TECHNIQUES APPLIED TO STUDIES OF COASTAL ZONES AREAS AND WATERSHEDS IN THE ISLAND OF PUERTO RICO","Méndez-Lázaro, P; Norat-Ramirez, J; Nieves-Santiago, A","2012","GEOFOCUS-REVISTA INTERNACIONAL DE CIENCIA Y TECNOLOGIA DE LA INFORMACION GEOGRAFICA","","WOS:000219637900005"
"Experimental study on the regeneration of Fungiid corals in Andaman and Nicobar Islands, India","Mondal, T; Raghunathan, C","2017","INDIAN JOURNAL OF GEO-MARINE SCIENCES","","WOS:000406894400007"
"Does reef crest zone selection influence Acropora palmata (Lamarck, 1816) fragment survival and growth?","Romero, AR; González-Díaz, P; Banaszak, AT","2025","PEERJ","","WOS:001626828100001"
"Coral larvae settle at a higher frequency on red surfaces","Mason, B; Beard, M; Miller, MW","2011","CORAL REEFS","","WOS:000293536600015"
"Enhancing survival of ex-situ reared sexual recruits of Acropora palmata for reef rehabilitation","Schutter, M; ter Hofstede, R; Osinga, R","2023","ECOLOGICAL ENGINEERING","","WOS:001044520100001"
"Evaluation of Substrate Properties for Settlement of Caribbean Staghorn Coral Acropora cervicornis Larvae in a Land-Based System","Patterson, JT; Flint, M; Watson, CA","2016","NORTH AMERICAN JOURNAL OF AQUACULTURE","","WOS:000385632600008"
"Early life history of the Caribbean coral Orbicella faveolata (Scleractinia: Merulinidae)","Alvarado-Chacón, EM; Gómez-Lemos, LA; Rojas, JA","2020","REVISTA DE BIOLOGIA TROPICAL","","WOS:000577180700021"
"Symbiotic immuno-suppression: is disease susceptibility the price of bleaching resistance?","Merselis, DG; Lirman, D; Rodriguez-Lanetty, M","2018","PEERJ","","WOS:000430307400001"
"Removal of corallivorous snails as a proactive tool for the conservation of acroporid corals","Williams, DE; Miller, M; Cameron, CM","2014","PEERJ","","WOS:000347627200001"
"Fragmentation in the branching coral Acropora palmata (Lamarck): growth, survivorship, and reproduction of colonies and fragments","Lirman, D","2000","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY","","WOS:000089284800003"
"Gorgonian population recovery after a mass mortality event","Cerrano, C; Arillo, A; Bavestrello, G","2005","AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS","","WOS:000227964800004"
"Recruitment failure in Florida Keys Acropora palmata, a threatened Caribbean coral","Williams, DE; Miller, MW; Kramer, KL","2008","CORAL REEFS","","WOS:000258085900033"
"Expanding the population genetic perspective of cnidarian-Symbiodinium symbioses","Santos, SR","2014","MOLECULAR ECOLOGY","","WOS:000341176200001"
"DISTRIBUTION, ABUNDANCE AND SURVIVAL OF JUVENILE HERMATYPIC CORALS (SCLERACTINIA) AND THE IMPORTANCE OF LIFE-HISTORY STRATEGIES IN THE PARENT CORAL COMMUNITY","BAK, RPM; ENGEL, MS","1979","MARINE BIOLOGY","","WOS:A1979HV46900006"
"Influence of UV radiation on the survival of larvae from broadcast-spawning reef corals","Wellington, GM; Fitt, WK","2003","MARINE BIOLOGY","","WOS:000186954400015"
"The deeper we go the less we know","Menza, C; Kendall, M; Hile, S","2008","REVISTA DE BIOLOGIA TROPICAL","","WOS:000266642200002"
"Does stocking of grazing crabs (Maguimithrax spinosissimus) facilitate the survival and growth of out-planted corals?","Butler, MJ","2026","RESTORATION ECOLOGY","","WOS:001644471900001"
"Coral colony tissue damage in six species of reef-building corals: Partial mortality in relation with depth and surface area","Meesters, EH; Wesseling, I; Bak, RPM","1997","JOURNAL OF SEA RESEARCH","","WOS:A1997XE26600011"
"Embriogenesis, desarrollo larval y sobrevivencia post-asentamiento del coral Orbicella annularis (Scleractinia: Merulinidae)","Alvarado-Chacon, EM; García-Ureña, R; Rincón-Díaz, N","2023","REVISTA DE BIOLOGIA TROPICAL","","WOS:000991842900006"
"Ecological condition of coral reef assemblages in the Cuban Archipelago","Aragon, HC; Armenteros, M; Menendez, PMA","2019","MARINE BIOLOGY RESEARCH","","WOS:000468240800006"
"A potential method for improving coral self-attachment","Tagliafico, A; Rangel, S; Kelaher, BP","2018","RESTORATION ECOLOGY","","WOS:000449709700014"
"Environmental conditions influence tissue regeneration rates in scleractinian corals","Sabine, AM; Smith, TB; Brandt, ME","2015","MARINE POLLUTION BULLETIN","","WOS:000356741000039"
"White Band Disease (type I) of Endangered Caribbean Acroporid Corals is Caused by Pathogenic Bacteria","Kline, DI; Vollmer, SV","2011","SCIENTIFIC REPORTS","","WOS:000296046200007"
"Ecological characterization of coral growth anomalies on Porites compressa in Hawai'i","Stimson, J","2011","CORAL REEFS","","WOS:000286940800016"
"Survival and Growth of Isolated Polyps of Galaxea fascicularis (Linnaeus 1767) on Six Kinds of Culture Substrates: Implications for Mariculture, Aquarium Culture, and Conservation","Pavia, RTB; Estacion, JS","2019","JOURNAL OF THE WORLD AQUACULTURE SOCIETY","","WOS:000457762000018"
"Growth modelling indicates hurricanes and severe storms are linked to low coral recruitment in the Caribbean","Crabbe, MJC; Martinez, E; Guy, J","2008","MARINE ENVIRONMENTAL RESEARCH","","WOS:000254785800008"
"Climate Change Influences on Marine Infectious Diseases: Implications for Management and Society","Burge, CA; Eakin, CM; Harvell, CD","2014","ANNUAL REVIEW OF MARINE SCIENCE, VOL 6","","WOS:000329657800012"
"Coral affected by stony coral tissue loss disease can produce viable offspring","Quiroz, SM; Renteria, RT; Banaszak, AT","2023","PEERJ","","WOS:001034338300003"
"The Art of Sticking: Attaching Methods Affect Direct Transplantation Success","García-Baciero, A; García-Herrero, A; Clements, GR","2024","THALASSAS","","WOS:001123948800002"
"Coral populations in a rapidly changing environment","van Woesik, R; Jordán-Garza, AG","2011","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY","","WOS:000298218400003"
"Partial mortality in three species of reef-building corals and the relation with colony morphology","Meesters, EH; Wesseling, I; Bak, RPM","1996","BULLETIN OF MARINE SCIENCE","","WOS:A1996UP20500017"
"Diseases and partial mortality in Montastraea annularis species complex in reefs with differing environmental conditions (NW Caribbean and Gulf of Mexico)","Jordán-Dahlgren, E; Maldonado, MA; Rodríguez-Martínez, RE","2005","DISEASES OF AQUATIC ORGANISMS","","WOS:000227981200001"
"SURVIVAL OF HURRICANE-GENERATED CORAL FRAGMENTS AND A DISTURBANCE MODEL OF REEF CALCIFICATION-GROWTH RATES","HIGHSMITH, RC; RIGGS, AC; DANTONIO, CM","1980","OECOLOGIA","","WOS:A1980KK12600007"
"Settling into an Increasingly Hostile World: The Rapidly Closing ""Recruitment Window"" for Corals","Arnold, SN; Steneck, RS","2011","PLOS ONE","","WOS:000298369100076"
"Hurricane-Driven Patterns of Clonality in an Ecosystem Engineer: The Caribbean Coral Montastraea annularis","Foster, NL; Baums, IB; Mumby, PJ","2013","PLOS ONE","","WOS:000313429100050"
"The significance of coral disease epizootiology for coral reef conservation","Green, EP; Bruckner, AW","2000","BIOLOGICAL CONSERVATION","","WOS:000090138600009"
"Temporal consistency in background mortality of four dominant coral taxa along Australia's Great Barrier Reef","Pisapia, C; Anderson, KD; Pratchett, MS","2016","CORAL REEFS","","WOS:000382019400009"
"Friend or foe? A review of the mechanisms that drive Serratia towards diverse lifestyles","Petersen, LM; Tisa, LS","2013","CANADIAN JOURNAL OF MICROBIOLOGY","","WOS:000324235200006"
"A comparison of in situ and on-vessel larval rearing for coral seeding","Randall, CJ; Chamberland, VF; Severati, A","2025","RESTORATION ECOLOGY","","WOS:001423253900001"
"Optimizing seawater temperature conditions to increase the productivity of ex situ coral nurseries","Merck, DE; Petrik, CG; Muller, EM","2022","PEERJ","","WOS:000772661600002"
"Coral larval settlement induction using tissue-associated and exuded coralline algae metabolites and the identification of putative chemical cues","Quinlan, ZA; Bennett, MJ; Kelly, LW","2023","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","","WOS:001085409700010"
"Secondary Microplastics Disrupt Early Coral Development: Impacts on Brooding and Broadcast-Spawning Species","García-Galindo, C; Gómez-Lemos, LA; García-Urueña, R","2025","DIVERSITY-BASEL","","WOS:001535760500001"
"Climate change impedes scleractinian corals as primary reef ecosystem engineers","Wild, C; Hoegh-Guldberg, O; van Woesik, R","2011","MARINE AND FRESHWATER RESEARCH","","WOS:000287667500011"
"The transformation of Caribbean coral communities since humans","Cramer, KL; Donovan, MK; Pandolfi, JM","2021","ECOLOGY AND EVOLUTION","","WOS:000673354900001"
"A quantitative assessment of the status of benthic communities on US Atlantic coral reefs using a novel standardized approach","Viehman, TS; Groves, SH; Towle, EK","2024","BULLETIN OF MARINE SCIENCE","","WOS:001247148000009"
"Changes in Caribbean coral disease prevalence after the 2005 bleaching event","Cróquer, A; Weil, E","2009","DISEASES OF AQUATIC ORGANISMS","","WOS:000272675600004"
"Ecological solutions to reef degradation: optimizing coral reef restoration in the Caribbean and Western Atlantic","Lirman, D; Schopmeyer, S","2016","PEERJ","","WOS:000385821100010"
