title,authors,year,journal,doi,wos_id
"Induction of Staghorn coral settlement and early post-settlement survival in laboratory conditions","Gómez-Lemos, LA; García-Urueña, R","2022","AQUATIC ECOLOGY","","WOS:000745589400001"
"The sea urchin Diadema antillarum facilitates recruitment of the Critically Endangered Caribbean coral species Acropora palmata","Latijnhouwers, KRW; van Aalst, M; Chamberland, VF","2024","MARINE ECOLOGY PROGRESS SERIES","","WOS:001338506600007"
"DEMOGRAPHY AND BREEDING ECOLOGY OF THE CRITICALLY ENDANGERED MONTSERRAT ORIOLE","Allcorn, RI; Hilton, GM; Oppel, S","2012","CONDOR","","WOS:000301687000022"
"Possible decline in leatherback turtle Dermochelys coriacea nesting along the coast of Caribbean Central America","Troëng, S; Chacón, D; Dick, B","2004","ORYX","","WOS:000225339900013"
"Heterotrophy, microbiome, and location effects on restoration efficacy of the threatened coral Acropora palmata","Chapron, L; Kuffner, IB; Grottoli, AG","2023","COMMUNICATIONS EARTH & ENVIRONMENT","","WOS:001031307500001"
"Heat-driven functional extinction of Caribbean Acropora corals from Florida's Coral Reef","Manzello, DP; Cunning, R; Williamson, OM","2025","SCIENCE","","WOS:001602616000019"
"Hurricane-associated population decrease in a critically endangered long-lived reptile","van den Burg, MP; Madden, H; Boman, E","2022","BIOTROPICA","","WOS:000771079400001"
"Assisted fertilization of threatened Staghorn Coral to complement the restoration of nurseries in Southeastern Dominican Republic","Calle-Triviño, J; Cortés-Useche, C; Arias-González, JE","2018","REGIONAL STUDIES IN MARINE SCIENCE","","WOS:000427936600014"
"Beyond heat: sediment and wave energy influence bleaching and demography in the coral Acropora cervicornis","Cunio, IT; Mercado-Molina, AE","2026","FRONTIERS IN ECOLOGY AND EVOLUTION","","WOS:001711022600001"
"Native parasitic nest fly impacts reproductive success of an island-endemic host","Hayes, CD; Hayes, TI; Anderson, DL","2019","ANIMAL CONSERVATION","","WOS:000466412800009"
"Sediment associated with algal turfs inhibits the settlement of two endangered coral species","Spear, KE; Duran, A; Burkepile, DE","2019","MARINE POLLUTION BULLETIN","","WOS:000472686700022"
"Survival, growth, and branch production of unattached fragments of the threatened hermatypic coral Acropora cervicornis","Mercado-Molina, AE; Ruiz-Diaz, CP; Sabat, AM","2014","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY","","WOS:000337868700026"
"Jamaica's Critically Endangered Butterfly: A Review of the Biology and Conservation Status of the Homerus Swallowtail (Papilio (Pterourus) homerus Fabricius)","Lehnert, MS; Kramer, VR; Daniels, JC","2017","INSECTS","","WOS:000419215700036"
"Monitored and modeled coral population dynamics and the refuge concept","Riegl, B; Purkis, SJ; Rowlands, GP","2009","MARINE POLLUTION BULLETIN","","WOS:000262963500015"
"Demographics and dynamics of two restored populations of the threatened reef-building coral Acropora cervicornis","Mercado-Molina, AE; Ruiz-Diaz, CP; Sabat, AM","2015","JOURNAL FOR NATURE CONSERVATION","","WOS:000353092800003"
"Monitoring invasive mammalian predator populations sharing habitat with the Critically Endangered Puerto Rican parrot Amazona vittata","Engeman, R; Whisson, D; White, TH","2006","ORYX","","WOS:000236188700023"
"Intestinal adenocarcinoma in a Montserrat mountain chicken (Leptodactylus fallax)","Jaffe, JE; Flach, EJ; Cunningham, AA","2015","JOURNAL OF ZOO AND AQUARIUM RESEARCH","","WOS:000458568400004"
"PATHOLOGY OF HATCHLING HAWKSBILL SEA TURTLE (ERETMOCHELYS IMBRICATA) MORTALITIES OCCURRING WHILE UNDER REHABILITATIVE CARE, 2015-21","Rodríguez, PS; Stewart, KM; Dennis, MM","2023","JOURNAL OF WILDLIFE DISEASES","","WOS:000971876700010"
"Factors regulating incubation temperature and thermal stress in hawksbills in St. Croix, USVI","Lyons, E; D'Alessandro, E; Ewen, K","2024","ENDANGERED SPECIES RESEARCH","","WOS:001217046600017"
"The conservation and ecology of the British Virgin Islands endemic tree, Vachellia anegadensis","Bárrios, S; Dufke, M; Clubbe, C","2022","ORYX","","WOS:000738708300017"
"Evidence for adaptive morphological plasticity in the Caribbean coral, Acropora cervicornis","Million, WC; Ruggeri, M; Kenkel, CD","2022","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","","WOS:001074870200002"
"Genetic differences in thermal tolerance among colonies of threatened coral Acropora cervicornis: potential for adaptation to increasing temperature","Yetsko, K; Ross, M; Gilg, MR","2020","MARINE ECOLOGY PROGRESS SERIES","","WOS:000621208500004"
"A Critically-Endangered Capuchin (Sapajus apella margaritae) Living in Mountain Forest Fragments on Isla de Margarita, Venezuela","Ceballos-Mago, N; Chivers, DJ","2013","","","WOS:000329209700017"
"Genotypes of Acropora cervicornis in Florida show resistance to either elevated nutrients or disease, but not both in combination","Palacio-Castro, AM; Kroesche, D; Rosales, SM","2025","PLOS ONE","","WOS:001462590700028"
"Reproductive natural history and successful juvenile propagation of the threatened Caribbean Pillar Coral Dendrogyra cylindrus","Marhaver, KL; Vermeij, MJA; Medina, MM","2015","BMC ECOLOGY","","WOS:000350949700001"
"How old are you? Genet age estimates in a clonal animal","Devlin-Durante, MK; Miller, MW; Baums, IB","2016","MOLECULAR ECOLOGY","","WOS:000387659300004"
"REPRODUCTIVE BIOLOGY OF THE ""CARDON"" TURTLE (Dermochelys coriacea) IN BEACHES OF THE PENINSULA OF PARIA, VENEZUELA, DURING NESTING SEASONS 2000-2006","Médicci, MR; Buitrago, J; Guada, HJ","2010","INTERCIENCIA","","WOS:000276887200005"
"Range extension and re-assessment of Eugenia stirpiflora (O.Berg) Krug & Urb., an endemic Myrtaceae to the Virgin Islands","Barrios, S; Weaver, C; Clubbe, CP","2025","BIODIVERSITY DATA JOURNAL","","WOS:001651435600002"
"Sediment source and dose influence the larval performance of the threatened coral Orbicella faveolata","Serrano, XM; Rosales, SM; Baker, AC","2024","PLOS ONE","","WOS:001259158900023"
"Status and conservation of the reptiles and amphibians of the Bermuda islands","Bacon, JP; Gray, JA; Kitson, L","2011","","","WOS:000298873300008"
"Reassessment of Varronia bellonis - a threatened, endemic plant from Puerto Rico","Hamilton, MA; Maldonado-Castro, A; Monsegur-Rivera, OA","2021","BIODIVERSITY DATA JOURNAL","","WOS:000635797800001"
"Microbiome signatures in Acropora cervicornis are associated with genotypic resistance to elevated nutrients and heat stress","Palacio-Castro, AM; Rosales, SM; Baker, AC","2022","CORAL REEFS","","WOS:000825161600001"
"Southeast Florida large Orbicella faveolata are highly fecund without evident disease intervention effects","Renegar, DA; Noren, HKG; Walker, BK","2024","FRONTIERS IN MARINE SCIENCE","","WOS:001241053700001"
"Long-term effects of competition and environmental drivers on the growth of the endangered coral Mussismilia braziliensis (Verril, 1867)","Ribeiro, FV; Sá, JA; Moura, RL","2018","PEERJ","","WOS:000441265800005"
