"X","study","region","location","plot","treatment_1","treatment_2","latitude","longitude","depth_m","survey_yr","data_type","size_cm2_mean","size_cm2_sd","size_cm2_min","size_cm2_max","size_live","prop_survived","n_initial","fragment","time_interval_yr","disturbance","study_notes","study_N"
16,"ramos_et_al_2024","Cuba","Playa Baracoa",NA,NA,NA,23.0556,-82.55,2,2015,"field",907.92,NA,NA,NA,"unknown",0.98,NA,"N",1,NA,"Recent mortality (RM) prevalence ~2% in 2015 from Fig 6A; prop_survived=1-0.02=0.98",NA
17,"ramos_et_al_2024","Cuba","Playa Baracoa",NA,NA,NA,23.0556,-82.55,2,2016,"field",907.92,NA,NA,NA,"unknown",0.99,NA,"N",1,NA,"Recent mortality (RM) prevalence ~1% in 2016 from Fig 6A; prop_survived=1-0.01=0.99",NA
18,"ramos_et_al_2024","Cuba","Playa Baracoa",NA,NA,NA,23.0556,-82.55,2,2017,"field",907.92,NA,NA,NA,"unknown",0.94,NA,"N",1,NA,"Recent mortality (RM) prevalence ~6% in 2017 from Fig 6A; prop_survived=1-0.06=0.94; increased after 2016 bleaching",NA
19,"ramos_et_al_2024","Cuba","Playa Baracoa",NA,NA,NA,23.0556,-82.55,2,2021,"field",907.92,NA,NA,NA,"unknown",0.995,NA,"N",1,NA,"Recent mortality (RM) prevalence ~0.5% in 2021 from Fig 6A; prop_survived=1-0.005=0.995; 12-fold decrease from 2017",NA
20,"ramos_et_al_2024","Cuba","Rincon de Guanabo",NA,NA,NA,23.1706,-82.0994,2,2006,"field",NA,NA,NA,NA,"unknown",0.99,NA,"N",1,NA,"Recent mortality (RM) prevalence ~1% in 2006 from Fig 6B; prop_survived=1-0.01=0.99; no diameter data for 2006",NA
21,"ramos_et_al_2024","Cuba","Rincon de Guanabo",NA,NA,NA,23.1706,-82.0994,2,2012,"field",NA,NA,NA,NA,"unknown",0.98,NA,"N",1,NA,"Recent mortality (RM) prevalence ~2% in 2012 from Fig 6B; prop_survived=1-0.02=0.98",NA
22,"ramos_et_al_2024","Cuba","Rincon de Guanabo",NA,NA,NA,23.1706,-82.0994,2,2013,"field",NA,NA,NA,NA,"unknown",0.98,NA,"N",1,NA,"Recent mortality (RM) prevalence ~2% in 2013 from Fig 6B; prop_survived=1-0.02=0.98",NA
23,"ramos_et_al_2024","Cuba","Rincon de Guanabo",NA,NA,NA,23.1706,-82.0994,2,2015,"field",1541.79,NA,NA,NA,"unknown",0.97,NA,"N",1,NA,"Recent mortality (RM) prevalence ~3% in 2015 from Fig 6B; prop_survived=1-0.03=0.97; mean diameter 44.3+/-2.3 cm; size_cm2=pi*(44.3/2)^2=1541.79",NA
24,"ramos_et_al_2024","Cuba","Rincon de Guanabo",NA,NA,NA,23.1706,-82.0994,2,2016,"field",1541.79,NA,NA,NA,"unknown",0.98,NA,"N",1,NA,"Recent mortality (RM) prevalence ~2% in 2016 from Fig 6B; prop_survived=1-0.02=0.98",NA
25,"ramos_et_al_2024","Cuba","Rincon de Guanabo",NA,NA,NA,23.1706,-82.0994,2,2017,"field",1541.79,NA,NA,NA,"unknown",0.95,NA,"N",1,NA,"Recent mortality (RM) prevalence ~5% in 2017 from Fig 6B; prop_survived=1-0.05=0.95; increased after 2016 bleaching",NA
26,"ramos_et_al_2024","Cuba","Rincon de Guanabo",NA,NA,NA,23.1706,-82.0994,2,2021,"field",366.44,NA,NA,NA,"unknown",0.992,NA,"N",1,NA,"Recent mortality (RM) prevalence ~0.8% in 2021 from Fig 6B; prop_survived=1-0.008=0.992; mean diameter decreased to 21.6+/-0.9 cm; size_cm2=pi*(21.6/2)^2=366.44",NA
27,"zubillaga_et_al_2008","Venezuela","Dos Mosquises Sur, Los Roques",NA,NA,NA,11.7969,-66.884,1,2004,"field",NA,NA,NA,NA,"unknown",0.832,137,"N",NA,"cross-sectional","Cross-sectional snapshot 2003-2004; 137 colonies; 16.76% injured+diseased (Table 1); prop_survived=1-0.1676=0.832; size=height*diameter (cm2); NOT longitudinal survival; 70-89% undamaged across all sites; WBD prevalence 1.4%; ciliate 3%",675
28,"zubillaga_et_al_2008","Venezuela","Cayo de Agua, Los Roques",NA,NA,NA,11.818,-66.926,1,2004,"field",NA,NA,NA,NA,"unknown",0.825,257,"N",NA,"cross-sectional","Cross-sectional snapshot 2003-2004; 257 colonies; 17.49% injured+diseased (Table 1); prop_survived=1-0.1749=0.825; highest density site (3.22 col/10m2); WBD prevalence 0.39%",675
29,"zubillaga_et_al_2008","Venezuela","Carenero, Los Roques",NA,NA,NA,11.889,-66.839,1,2004,"field",NA,NA,NA,NA,"unknown",0.894,66,"N",NA,"cross-sectional","Cross-sectional snapshot 2003-2004; 66 colonies; 10.60% injured+diseased (Table 1); prop_survived=1-0.1060=0.894",675
30,"zubillaga_et_al_2008","Venezuela","Crasqui, Los Roques",NA,NA,NA,11.882,-66.721,1,2004,"field",NA,NA,NA,NA,"unknown",0.813,64,"N",NA,"cross-sectional","Cross-sectional snapshot 2003-2004; 64 colonies; 18.74% injured+diseased (Table 1); prop_survived=1-0.1874=0.813; WBD 4.69%",675
31,"zubillaga_et_al_2008","Venezuela","Gran Roque, Los Roques",NA,NA,NA,11.944,-66.665,1,2004,"field",NA,NA,NA,NA,"unknown",0.789,73,"N",NA,"cross-sectional","Cross-sectional snapshot 2003-2004; 73 colonies; 21.11% injured+diseased (Table 1); prop_survived=1-0.2111=0.789; WBD 1.41%",675
32,"zubillaga_et_al_2008","Venezuela","Pirata, Los Roques",NA,NA,NA,11.926,-66.654,1,2004,"field",NA,NA,NA,NA,"unknown",0.764,55,"N",NA,"cross-sectional","Cross-sectional snapshot 2003-2004; 55 colonies; 23.63% injured+diseased (Table 1); prop_survived=1-0.2363=0.764; WBD 1.82%; ciliate 5.45%",675
33,"zubillaga_et_al_2008","Venezuela","Madrisqui, Los Roques",NA,NA,NA,11.941,-66.66,1,2004,"field",NA,NA,NA,NA,"unknown",0.7,10,"N",NA,"cross-sectional","Cross-sectional snapshot 2003-2004; 10 colonies; 30% injured+diseased (Table 1); prop_survived=1-0.30=0.70; WBD 10%; small sample",675
34,"zubillaga_et_al_2008","Venezuela","Los Roques (all 6 recovering sites)",NA,NA,NA,11.87,-66.77,1,2004,"field",NA,NA,NA,NA,"unknown",0.82,652,"N",NA,"cross-sectional","Cross-sectional pooled across 6 recovering sites; 652 colonies (excl 4 sites with 0-6 colonies); weighted avg ~82% undamaged; prop_survived approximated from complement of injury+disease; size classes: 42-74% were 0.1-4550 cm2",675
35,"caballero_aragon_et_al_2019","Cuba","Faro de Cazones",NA,NA,NA,22.1043,-81.5159,2,2012,"field",11309.73,NA,NA,NA,"unknown",0.95,NA,"N",NA,"cross-sectional","Cross-sectional 2012; best condition site; median mortality <10% from Fig 4A; prop_survived=1-0.05=0.95; highest density (median ~5 col/10m); 81% relative abundance; median diameter ~120 cm; size_cm2=pi*(120/2)^2=11309.73; 41 sites surveyed 2010-2012",NA
36,"caballero_aragon_et_al_2019","Cuba","Cayo Fragoso oeste",NA,NA,NA,22.7203,-79.3631,2,2012,"field",11309.73,NA,NA,NA,"unknown",0.85,NA,"N",NA,"cross-sectional","Cross-sectional 2012; good condition site; median mortality ~15% from Fig 4A; prop_survived=1-0.15=0.85; median diameter ~120 cm from Fig 3A",NA
37,"caballero_aragon_et_al_2019","Cuba","Baracoa",NA,NA,NA,23.0567,-82.5503,2,2010,"field",11309.73,NA,NA,NA,"unknown",0.8,NA,"N",NA,"cross-sectional","Cross-sectional 2010; good condition site; median mortality ~20% from Fig 4A; prop_survived=1-0.20=0.80; near Havana but low contamination; ~3 col/10m median density",NA
38,"caballero_aragon_et_al_2019","Cuba","Cruz del Padre",NA,NA,NA,23.2885,-80.8981,2,2012,"field",NA,NA,NA,NA,"unknown",0.95,NA,"N",NA,"cross-sectional","Cross-sectional 2012; CPA had median mortality <5% from Fig 4A; prop_survived=1-0.05=0.95; high frequency of small colonies (10-50cm); among lowest mortality sites",NA
39,"caballero_aragon_et_al_2019","Cuba","Cayo Romano",NA,NA,NA,22.0247,-77.6025,2,2012,"field",NA,NA,NA,NA,"unknown",0.93,NA,"N",NA,"cross-sectional","Cross-sectional 2012; CRO had median mortality <10% from Fig 4A; prop_survived=1-0.07=0.93; high frequency of small colonies",NA
40,"caballero_aragon_et_al_2019","Cuba","Rotilla",NA,NA,NA,23.1567,-81.9041,2,2010,"field",NA,NA,NA,NA,"unknown",0.75,NA,"N",NA,"cross-sectional","Cross-sectional 2010; median mortality ~25% from Fig 4A; prop_survived=1-0.25=0.75; high frequency of small colonies (10-50cm)",NA
41,"caballero_aragon_et_al_2019","Cuba","Sancho Pardo",NA,NA,NA,22.161,-84.7495,2,2010,"field",NA,NA,NA,NA,"unknown",0.8,NA,"N",NA,"cross-sectional","Cross-sectional 2010; SP median mortality ~20% from Fig 4A; prop_survived=1-0.20=0.80",NA
42,"caballero_aragon_et_al_2019","Cuba","La Zorrita",NA,NA,NA,22.3809,-84.6075,2,2010,"field",NA,NA,NA,NA,"unknown",0.65,NA,"N",NA,"cross-sectional","Cross-sectional 2010; LZ median mortality ~35% from Fig 4A; prop_survived=1-0.35=0.65",NA
43,"caballero_aragon_et_al_2019","Cuba","Cabo Cruz",NA,NA,NA,19.8333,-77.7333,2,2012,"field",NA,NA,NA,NA,"unknown",0.7,NA,"N",NA,"cross-sectional","Cross-sectional 2012; CRUZ median mortality ~30% from Fig 4A; prop_survived=1-0.30=0.70",NA
44,"caballero_aragon_et_al_2019","Cuba","La Tabla",NA,NA,NA,22.3071,-84.6695,2,2010,"field",NA,NA,NA,NA,"unknown",0.65,NA,"N",NA,"cross-sectional","Cross-sectional 2010; LT median mortality ~35% from Fig 4A; prop_survived=1-0.35=0.65",NA
45,"caballero_aragon_et_al_2019","Cuba","Cayo Sabinal centro",NA,NA,NA,21.7578,-77.3158,2,2012,"field",NA,NA,NA,NA,"unknown",0.55,NA,"N",NA,"cross-sectional","Cross-sectional 2012; SABC median mortality ~45% from Fig 4A; prop_survived=1-0.45=0.55",NA
46,"caballero_aragon_et_al_2019","Cuba","Santa Fe",NA,NA,NA,23.0788,-82.5183,2,2010,"field",NA,NA,NA,NA,"unknown",0.55,NA,"N",NA,"cross-sectional","Cross-sectional 2010; SFE median mortality ~45% from Fig 4A; prop_survived=1-0.45=0.55",NA
47,"caballero_aragon_et_al_2019","Cuba","El Salado",NA,NA,NA,23.0409,-82.6074,2,2010,"field",NA,NA,NA,NA,"unknown",0.75,NA,"N",NA,"cross-sectional","Cross-sectional 2010; SA median mortality ~25% from Fig 4A; prop_survived=1-0.25=0.75",NA
48,"caballero_aragon_et_al_2019","Cuba","Cayo Rico",NA,NA,NA,21.5753,-81.6837,2,2010,"field",NA,NA,NA,NA,"unknown",0.55,NA,"N",NA,"cross-sectional","Cross-sectional 2010; RIC median mortality ~45% from Fig 4A; prop_survived=1-0.45=0.55",NA
49,"caballero_aragon_et_al_2019","Cuba","Cayo Rosario",NA,NA,NA,21.565,-81.9968,2,2010,"field",NA,NA,NA,NA,"unknown",0.6,NA,"N",NA,"cross-sectional","Cross-sectional 2010; ROS median mortality ~40% from Fig 4A; prop_survived=1-0.40=0.60",NA
50,"caballero_aragon_et_al_2019","Cuba","Laberinto",NA,NA,NA,22.0344,-80.437,2,2012,"field",NA,NA,NA,NA,"unknown",0.6,NA,"N",NA,"cross-sectional","Cross-sectional 2012; LAB median mortality ~40% from Fig 4A; prop_survived=1-0.40=0.60",NA
51,"caballero_aragon_et_al_2019","Cuba","Cayo Flamenco",NA,NA,NA,22.5625,-78.4431,2,2012,"field",NA,NA,NA,NA,"unknown",0.7,NA,"N",NA,"cross-sectional","Cross-sectional 2012; FLA median mortality ~30% from Fig 4A; prop_survived=1-0.30=0.70",NA
52,"caballero_aragon_et_al_2019","Cuba","Cayo La Vela",NA,NA,NA,22.9467,-79.7558,2,2012,"field",NA,NA,NA,NA,"unknown",0.65,NA,"N",NA,"cross-sectional","Cross-sectional 2012; LVE median mortality ~35% from Fig 4A; prop_survived=1-0.35=0.65",NA
53,"caballero_aragon_et_al_2019","Cuba","Diego Perez norte",NA,NA,NA,22.0379,-81.5173,2,2012,"field",NA,NA,NA,NA,"unknown",0.4,NA,"N",NA,"cross-sectional","Cross-sectional 2012; DPN median mortality ~60% from Fig 4A; prop_survived=1-0.60=0.40",NA
54,"caballero_aragon_et_al_2019","Cuba","Punta Gavilan",NA,NA,NA,22.0266,-80.4187,2,2012,"field",NA,NA,NA,NA,"unknown",0.35,NA,"N",NA,"cross-sectional","Cross-sectional 2012; PGA median mortality ~65% from Fig 4A; prop_survived=1-0.35=0.35; classified as bad condition",NA
55,"caballero_aragon_et_al_2019","Cuba","La Puntica",NA,NA,NA,20.8167,-78.9667,2,2012,"field",NA,NA,NA,NA,"unknown",0.35,NA,"N",NA,"cross-sectional","Cross-sectional 2012; LPU median mortality ~65% from Fig 4A; prop_survived=1-0.65=0.35; classified as bad condition",NA
56,"caballero_aragon_et_al_2019","Cuba","Cayo Thaelman",NA,NA,NA,22.0125,-81.3417,2,2012,"field",NA,NA,NA,NA,"unknown",0.15,NA,"N",NA,"cross-sectional","Cross-sectional 2012; CTH median mortality ~85% from Fig 4A; prop_survived=1-0.85=0.15; largest median diameter (~250cm) but nearly all dead tissue; classified as bad",NA
57,"caballero_aragon_et_al_2019","Cuba","Mariflores",NA,NA,NA,20.7667,-78.9333,2,2012,"field",NA,NA,NA,NA,"unknown",0.05,NA,"N",NA,"cross-sectional","Cross-sectional 2012; MAR median mortality ~95% from Fig 4A; prop_survived=1-0.95=0.05; near 100% tissue mortality; classified as bad",NA
58,"caballero_aragon_et_al_2019","Cuba","Cayo Cantiles",NA,NA,NA,21.5992,-81.9275,2,2010,"field",NA,NA,NA,NA,"unknown",0.1,NA,"N",NA,"cross-sectional","Cross-sectional 2010; CAN median mortality ~90% from Fig 4A; prop_survived=1-0.90=0.10; classified as bad",NA
59,"caballero_aragon_et_al_2019","Cuba","Diego Perez sur",NA,NA,NA,22.0237,-81.5173,2,2012,"field",NA,NA,NA,NA,"unknown",0.3,NA,"N",NA,"cross-sectional","Cross-sectional 2012; DPS median mortality ~70% from Fig 4A; prop_survived=1-0.70=0.30",NA
60,"caballero_aragon_et_al_2019","Cuba","Cayo Sabinal oeste",NA,NA,NA,21.6878,-77.1817,2,2012,"field",NA,NA,NA,NA,"unknown",0.45,NA,"N",NA,"cross-sectional","Cross-sectional 2012; SABO median mortality ~55% from Fig 4A; prop_survived=1-0.55=0.45",NA
61,"caballero_aragon_et_al_2019","Cuba","Cayo Sabinal este",NA,NA,NA,21.7228,-77.2589,2,2012,"field",NA,NA,NA,NA,"unknown",0.45,NA,"N",NA,"cross-sectional","Cross-sectional 2012; SABE median mortality ~55% from Fig 4A; prop_survived=1-0.55=0.45",NA
62,"caballero_aragon_et_al_2019","Cuba","Cuban archipelago (all 27 sites with >10 colonies)",NA,NA,NA,NA,NA,2,2011,"field",NA,NA,NA,NA,"unknown",0.55,NA,"N",NA,"cross-sectional","Cross-sectional pooled 2010-2012; overall median mortality 45% across 27 sites with >10 colonies; prop_survived=1-0.45=0.55; 41 sites total; 38/41 in bad or regular condition; only 3 sites (FCZ, CFO, BAR) classified as good; range 0-100% mortality",NA
63,"ramos_romero_et_al_2025","Cuba","Playa Baracoa",NA,"back_crest",NA,23.0556,-82.5528,1.5,2022,"field",NA,NA,NA,NA,"unknown",0.6,50,"Y",1.24,NA,"Kaplan-Meier survival at 453 days (1.24yr); 25 fragments in back crest zone; Table 2; fragments 1-7cm width/height; epoxy-attached to substrate; annualized=0.6^(1/1.24)=0.521",200
64,"ramos_romero_et_al_2025","Cuba","Playa Baracoa",NA,"fore_crest",NA,23.0556,-82.5528,1.5,2022,"field",NA,NA,NA,NA,"unknown",0.8,50,"Y",1.24,NA,"Kaplan-Meier survival at 453 days (1.24yr); 25 fragments in fore crest zone; Table 2; higher survival in fore zone; annualized=0.8^(1/1.24)=0.834",200
65,"ramos_romero_et_al_2025","Cuba","Rincon de Guanabo",NA,"back_crest",NA,23.1706,-82.0994,2,2022,"field",NA,NA,NA,NA,"unknown",0.3,50,"Y",0.95,NA,"Kaplan-Meier survival at 347 days (0.95yr); 25 fragments in back crest zone; Table 2; lowest survival - high Dictyota cover; p=0.004 between zones; annualized=0.3^(1/0.95)=0.276",200
66,"ramos_romero_et_al_2025","Cuba","Rincon de Guanabo",NA,"fore_crest",NA,23.1706,-82.0994,2,2022,"field",NA,NA,NA,NA,"unknown",0.7,50,"Y",0.95,NA,"Kaplan-Meier survival at 347 days (0.95yr); 25 fragments in fore crest zone; Table 2; significantly higher than back zone (p=0.004); annualized=0.7^(1/0.95)=0.680",200
67,"ramos_romero_et_al_2025","Cuba","El Peruano (Jardines de la Reina)",NA,"back_crest",NA,20.8464,-79.0191,1,2022,"field",NA,NA,NA,NA,"unknown",0.7,50,"Y",0.64,NA,"Kaplan-Meier survival at 232 days (0.64yr); 25 fragments in back crest zone; Table 2; Jardines de la Reina National Park; annualized=0.7^(1/0.64)=0.610",200
68,"ramos_romero_et_al_2025","Cuba","El Peruano (Jardines de la Reina)",NA,"fore_crest",NA,20.8464,-79.0191,2.5,2022,"field",NA,NA,NA,NA,"unknown",0.6,50,"Y",0.64,NA,"Kaplan-Meier survival at 232 days (0.64yr); 25 fragments in fore crest zone; Table 2; annualized=0.6^(1/0.64)=0.506",200
69,"ramos_romero_et_al_2025","Cuba","Mariflores (Jardines de la Reina)",NA,"back_crest",NA,20.7778,-78.8953,1,2022,"field",NA,NA,NA,NA,"unknown",0.7,50,"Y",0.64,NA,"Kaplan-Meier survival at 232 days (0.64yr); 25 fragments in back crest zone; Table 2; annualized=0.7^(1/0.64)=0.610",200
70,"ramos_romero_et_al_2025","Cuba","Mariflores (Jardines de la Reina)",NA,"fore_crest",NA,20.7778,-78.8953,1.8,2022,"field",NA,NA,NA,NA,"unknown",0.9,50,"Y",0.64,NA,"Kaplan-Meier survival at 232 days (0.64yr); 25 fragments in fore crest zone; Table 2; highest survival of all zones; annualized=0.9^(1/0.64)=0.847",200
71,"muller_et_al_2008","US Virgin Islands","Hawksnest Bay, St. John",NA,NA,NA,18.358,-64.755,2.5,2006,"field",NA,NA,NA,NA,"unknown",0.75,60,"N",2.67,NA,"60 tagged natural colonies monitored monthly May 2004-Dec 2006; ~15 died (10 from bleaching+disease Oct-Dec 2005 + 5 from physical damage); 45/60 survived; annualized=0.75^(1/2.67)=0.892; includes 2005 mass bleaching; disease prevalence 87% of tissue loss; Coral Reefs 27:191-195",60
72,"sutherland_et_al_2016","Florida Keys","Eastern Dry Rocks Reef",NA,NA,NA,24.461,-81.843,2,2004,"field",NA,NA,NA,NA,"unknown",0.011,92,"N",10,"WPX_epidemic","92 colonies in 1994 photostation declined to 1 by 2004; 97.8% decline over 10yr; 66 lost to WPX, 15 DOA non-disease, 10 TKO; annualized=0.011^(1/10)=0.629; EXTREME: peak white pox epidemic 1994-2004; Phil Trans R Soc B 371:20150205",92
73,"sutherland_et_al_2016","Florida Keys","FKNMS 7-reef survey",NA,NA,NA,24.8,-81.2,2,2014,"field",NA,NA,NA,NA,"unknown",0.556,126,"N",7,NA,"126 colonies across 7 FL Keys reefs in 2008 declined to 70 by 2014; 56 lost (14 DOA, 40 TKO, 2 FUS); annual=0.556^(1/7)=0.919; WARNING: high overlap risk with NOAA FL Keys monitoring sites (Carysfort, Molasses, Sombrero, etc); NOT INCLUDED in meta-analysis",126
74,"rogers_et_al_1982","US Virgin Islands","Buck Island, St. Croix",NA,NA,NA,17.79,-64.62,4,1980,"field",NA,NA,NA,NA,"unknown",0.66,88,"Y",0.917,"hurricane_recovery","100 labeled storm-damaged A. palmata branches at Buck Island forereef; tracked Sep 1979-Jul 1980 (11mo); secured numbered plastic ties; 34% dead at 11mo (Table 5); 66% survived (healed/healing/partly dead but alive); Bull Mar Sci 32(2):532-548",88
75,"rogers_et_al_1982","US Virgin Islands","Tague Bay, St. Croix",NA,NA,NA,17.76,-64.6,3,1980,"field",NA,NA,NA,NA,"unknown",0.35,85,"Y",0.917,"hurricane_recovery","100 labeled storm-damaged A. palmata branches at Tague Bay reef; tracked Sep 1979-Jul 1980 (11mo); 65% dead at 11mo (Table 5); 35% survived; more severe site due to sediment and physical damage; Bull Mar Sci 32(2):532-548",85
