region,year,winter_sst_c,winter_anomaly_c,baseline_mean_c,data_source
Dominican Republic,2015,NA,NA,NA,synthetic_placeholder
Dominican Republic,2016,NA,NA,NA,synthetic_placeholder
Dominican Republic,2017,NA,NA,NA,synthetic_placeholder
Dominican Republic,2018,NA,NA,NA,synthetic_placeholder
Dominican Republic,2019,NA,NA,NA,synthetic_placeholder
Dominican Republic,2020,NA,NA,NA,synthetic_placeholder
Dominican Republic,2021,NA,NA,NA,synthetic_placeholder
Dominican Republic,2022,NA,NA,NA,synthetic_placeholder
Dominican Republic,2023,NA,NA,NA,synthetic_placeholder
Dominican Republic,2024,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2000,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2001,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2002,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2003,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2004,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2005,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2006,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2007,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2008,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2009,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2010,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2011,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2012,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2013,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2014,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2015,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2016,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2017,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2018,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2019,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2020,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2021,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2022,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2023,NA,NA,NA,synthetic_placeholder
Dry Tortugas,2024,NA,NA,NA,synthetic_placeholder
Florida Keys,2000,NA,NA,NA,synthetic_placeholder
Florida Keys,2001,NA,NA,NA,synthetic_placeholder
Florida Keys,2002,NA,NA,NA,synthetic_placeholder
Florida Keys,2003,NA,NA,NA,synthetic_placeholder
Florida Keys,2004,NA,NA,NA,synthetic_placeholder
Florida Keys,2005,NA,NA,NA,synthetic_placeholder
Florida Keys,2006,NA,NA,NA,synthetic_placeholder
Florida Keys,2007,NA,NA,NA,synthetic_placeholder
Florida Keys,2008,NA,NA,NA,synthetic_placeholder
Florida Keys,2009,NA,NA,NA,synthetic_placeholder
Florida Keys,2010,NA,NA,NA,synthetic_placeholder
Florida Keys,2011,NA,NA,NA,synthetic_placeholder
Florida Keys,2012,NA,NA,NA,synthetic_placeholder
Florida Keys,2013,NA,NA,NA,synthetic_placeholder
Florida Keys,2014,NA,NA,NA,synthetic_placeholder
Florida Keys,2015,NA,NA,NA,synthetic_placeholder
Florida Keys,2016,NA,NA,NA,synthetic_placeholder
Florida Keys,2017,NA,NA,NA,synthetic_placeholder
Florida Keys,2018,NA,NA,NA,synthetic_placeholder
Florida Keys,2019,NA,NA,NA,synthetic_placeholder
Florida Keys,2020,NA,NA,NA,synthetic_placeholder
Florida Keys,2021,NA,NA,NA,synthetic_placeholder
Florida Keys,2022,NA,NA,NA,synthetic_placeholder
Florida Keys,2023,NA,NA,NA,synthetic_placeholder
Florida Keys,2024,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2000,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2001,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2002,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2003,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2004,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2005,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2006,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2007,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2008,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2009,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2010,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2011,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2012,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2013,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2014,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2015,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2016,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2017,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2018,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2019,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2020,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2021,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2022,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2023,NA,NA,NA,synthetic_placeholder
Mexican Caribbean,2024,NA,NA,NA,synthetic_placeholder
Navassa,2000,NA,NA,NA,synthetic_placeholder
Navassa,2001,NA,NA,NA,synthetic_placeholder
Navassa,2002,NA,NA,NA,synthetic_placeholder
Navassa,2003,NA,NA,NA,synthetic_placeholder
Navassa,2004,NA,NA,NA,synthetic_placeholder
Navassa,2005,NA,NA,NA,synthetic_placeholder
Navassa,2006,NA,NA,NA,synthetic_placeholder
Navassa,2007,NA,NA,NA,synthetic_placeholder
Navassa,2008,NA,NA,NA,synthetic_placeholder
Navassa,2009,NA,NA,NA,synthetic_placeholder
Navassa,2010,NA,NA,NA,synthetic_placeholder
Navassa,2011,NA,NA,NA,synthetic_placeholder
Navassa,2012,NA,NA,NA,synthetic_placeholder
Navassa,2013,NA,NA,NA,synthetic_placeholder
Navassa,2014,NA,NA,NA,synthetic_placeholder
Navassa,2015,NA,NA,NA,synthetic_placeholder
Navassa,2016,NA,NA,NA,synthetic_placeholder
Navassa,2017,NA,NA,NA,synthetic_placeholder
Navassa,2018,NA,NA,NA,synthetic_placeholder
Navassa,2019,NA,NA,NA,synthetic_placeholder
Navassa,2020,NA,NA,NA,synthetic_placeholder
Navassa,2021,NA,NA,NA,synthetic_placeholder
Navassa,2022,NA,NA,NA,synthetic_placeholder
Navassa,2023,NA,NA,NA,synthetic_placeholder
Navassa,2024,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2000,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2001,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2002,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2003,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2004,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2005,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2006,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2007,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2008,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2009,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2010,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2011,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2012,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2013,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2014,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2015,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2016,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2017,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2018,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2019,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2020,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2021,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2022,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2023,NA,NA,NA,synthetic_placeholder
US Virgin Islands,2024,NA,NA,NA,synthetic_placeholder
