Parameter,Sub_Category,Value,Unit,Region,Study,Context,analysis_include,relevance_class,scope_note
recruit_survival,nursery_ex_situ,0.5,percent,Curacao,Chamberland 2015,Long-term survival if kept in lab,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
recruit_survival,reef_outplant,3.4,percent,Curacao,Chamberland 2015,Long-term survival if outplanted at 2 weeks,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
post_settlement_mortality,6_month,86,percent,Curacao,Chamberland 2015,Natural mortality bottleneck for new recruits,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
lesion_recovery,small_lesion,7.3,mm/month,Florida,Lirman 2000b,Healing rate for lesions < 5cm2,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
lesion_recovery,medium_lesion,4.9,mm/month,Florida,Lirman 2000b,Healing rate for lesions 5-10cm2,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
lesion_recovery,large_lesion,4.3,mm/month,Florida,Lirman 2000b,Healing rate for lesions 10-20cm2,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
lesion_recovery,critical_threshold,20,cm2,Florida,Lirman 2000b,Size above which lesions rarely recover,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
disease_prevalence,WPx_small,0,percent,Mesoamerican Reef,Rodriguez-Martinez 2014,Prevalence in colonies < 5cm,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
disease_prevalence,WPx_large,48,percent,Mesoamerican Reef,Rodriguez-Martinez 2014,Prevalence in colonies > 75cm,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
bleaching_threshold,S_fitti,31.2,Celsius,Florida,Pausch 2018,Thermal threshold for native symbiont association,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
snail_predation_rate,tissue_loss,16,cm2/day,Florida,Williams 2012,Maximum consumption per Coralliophila snail,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
snail_predation_impact,background_loss,27,percent,Florida,Williams 2012,Impact of < 2 snails per colony on total tissue loss,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
algal_competition_cost,growth_reduction,50,percent,BVI,Forrester 2011,Reduction in fragment growth due to Dictyota,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
grazing_requirement,algal_control,42,percent,Caribbean,Mumby 2007,Minimum reef surface grazed per 6mo to prevent shift,TRUE,indirect_habitat_context,Indirect Caribbean habitat-process context retained for analysis support.
fragment_sterility,duration,4,years,Florida,Lirman 2000a,Time fragments remain sterile post-disturbance,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
fragment_cementation,9_month,72,percent,Florida,Fong 1995,Proportion of storm fragments stabilized to reef,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
fragment_tissue_loss,1_year,61.7,percent,Puerto Rico,Ortiz-Prosper 2005,Average tissue loss on surviving fragments,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
growth_rate_linear,wild_colony,37.2,cm/year,Puerto Rico,Weil 2020,A. cervicornis for context (A. palmata ~10-15cm/yr),FALSE,other_species_context,"Excluded from analysis rows because the value is explicitly for A. cervicornis, not A. palmata."
growth_rate_linear,restoration,7.3,cm/year,Cuba,Ramos-Romero 2025,Maximum observed outplant linear extension,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
growth_rate_linear,restoration,-1.5,cm/year,Cuba,Ramos-Romero 2025,Minimum (negative) growth in high-flow zones,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
reproductive_fertilization,wild_gametes,95,percent,Mexico,Mendoza-Quiroz 2023,F1 sperm x Wild eggs,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
reproductive_fertilization,sibling_gametes,15,percent,Mexico,Mendoza-Quiroz 2023,F1 sperm x F1 sibling eggs,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
microbiome_stability,threshold,31,Celsius,Florida,Rosales 2024,Temp at which core Sphingomonadaceae are lost,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
frag_survival_1yr,Butler_Bay,35,percent,USVI (St. Croix),Rogers 1982,Post-Hurricane David survival (high energy),TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
frag_survival_1yr,Buck_Island,66,percent,USVI (St. Croix),Rogers 1982,Post-Hurricane David survival (moderate energy),TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
physical_disturbance,vessel_grounding,93,percent,Mexico,Victoria-Salazar 2023,Reduction in A. palmata cover (14% to 1%) over 504m2,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
water_quality_threshold,chlorophyll_a,1,mg/m3,Florida,Banister 2024,Level above which A. palmata occurrence drops significantly,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
water_quality_threshold,total_nitrogen,0.16,ppm,Florida,Banister 2024,Level above which A. palmata occurrence drops significantly,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
reef_budget_reduction,indirect_SCTLD,30,percent,Mesoamerican Reef,Alvarez-Filip 2022,Loss of community CaCO3 production (4.6 to 3.27 kg/m2/yr),TRUE,indirect_habitat_context,Indirect Caribbean habitat-process context retained for analysis support.
recruitment_inhibition,macroalgae,100,percent,Caribbean,Alvarez-Filip 2022,Macroalgal takeover of dead framework prevents recruitment,TRUE,indirect_habitat_context,Indirect Caribbean habitat-process context retained for analysis support.
sedimentation_impact,additive_warming,high,categorical,Caribbean,Speare 2022,Sedimentation has additive negative effect with heat stress,FALSE,out_of_scope_non_caribbean,Excluded from analysis rows because the study is Pacific / non-Caribbean context.
predation_feedback,post_storm,high,categorical,Florida,Vardi 2011,Snails concentrate on surviving fragments impeding recovery,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
